Resource_ID,Cloud_Provider,Account_ID,Service,Region,Status,Created_At
az-vm-115,Azure,AZ-ACCT-021,Database,eastus,active,2025-06-11
az-vm-116,Azure,AZ-ACCT-021,Storage,southeastasia,active,2025-10-08
az-vm-117,Azure,AZ-ACCT-021,Database,centralindia,zombie,2025-09-16
az-vm-118,Azure,AZ-ACCT-021,Storage,eastus,active,2025-09-26
az-vm-119,Azure,AZ-ACCT-021,Database,westeurope,active,2025-11-14
az-vm-120,Azure,AZ-ACCT-021,Storage,southeastasia,active,2025-10-02
az-vm-121,Azure,AZ-ACCT-021,Storage,canadacentral,active,2025-08-22
az-vm-122,Azure,AZ-ACCT-022,Compute,centralindia,active,2025-09-27
az-vm-123,Azure,AZ-ACCT-022,Database,southeastasia,active,2025-10-05
az-vm-124,Azure,AZ-ACCT-022,Storage,westeurope,active,2025-08-06
az-vm-125,Azure,AZ-ACCT-022,Storage,centralindia,active,2025-08-10
az-vm-126,Azure,AZ-ACCT-022,Database,eastus,active,2025-08-01
az-vm-127,Azure,AZ-ACCT-023,Storage,southeastasia,active,2025-11-13
az-vm-128,Azure,AZ-ACCT-023,Database,canadacentral,terminated,2025-08-15
az-vm-129,Azure,AZ-ACCT-023,Compute,canadacentral,active,2025-10-27
az-vm-130,Azure,AZ-ACCT-023,Storage,canadacentral,active,2025-12-08
az-vm-131,Azure,AZ-ACCT-023,Database,centralindia,active,2025-08-18
az-vm-132,Azure,AZ-ACCT-023,Storage,westeurope,active,2025-07-01
az-vm-133,Azure,AZ-ACCT-023,Database,southeastasia,active,2025-07-20
az-vm-134,Azure,AZ-ACCT-024,Database,canadacentral,active,2025-12-12
az-vm-135,Azure,AZ-ACCT-024,Database,southeastasia,active,2025-07-20
az-vm-136,Azure,AZ-ACCT-024,Storage,westeurope,active,2025-11-29
az-vm-137,Azure,AZ-ACCT-024,Database,westeurope,active,2025-10-20
az-vm-138,Azure,AZ-ACCT-024,Storage,westeurope,active,2025-06-27
az-vm-139,Azure,AZ-ACCT-025,Database,centralindia,active,2025-07-18
az-vm-140,Azure,AZ-ACCT-025,Compute,centralindia,active,2025-06-17
az-vm-141,Azure,AZ-ACCT-025,Storage,canadacentral,active,2025-06-14
az-vm-142,Azure,AZ-ACCT-025,Compute,westeurope,active,2025-06-22
az-vm-143,Azure,AZ-ACCT-026,Compute,southeastasia,active,2025-11-06
az-vm-144,Azure,AZ-ACCT-026,Compute,southeastasia,active,2025-08-16
az-vm-145,Azure,AZ-ACCT-026,Database,canadacentral,active,2025-11-04
az-vm-146,Azure,AZ-ACCT-026,Database,eastus,active,2025-07-25
az-vm-147,Azure,AZ-ACCT-026,Storage,eastus,active,2025-06-20
az-vm-148,Azure,AZ-ACCT-027,Compute,canadacentral,active,2025-08-14
az-vm-149,Azure,AZ-ACCT-027,Compute,westeurope,active,2025-09-25
az-vm-150,Azure,AZ-ACCT-027,Compute,westeurope,active,2025-11-08
az-vm-151,Azure,AZ-ACCT-027,Database,westeurope,active,2025-11-13
az-vm-152,Azure,AZ-ACCT-027,Compute,centralindia,active,2025-07-13
az-vm-153,Azure,AZ-ACCT-028,Database,southeastasia,active,2025-09-28
az-vm-154,Azure,AZ-ACCT-028,Database,centralindia,active,2025-10-07
az-vm-155,Azure,AZ-ACCT-028,Database,canadacentral,active,2025-09-19
az-vm-156,Azure,AZ-ACCT-028,Database,centralindia,terminated,2025-07-29
az-vm-157,Azure,AZ-ACCT-028,Database,southeastasia,terminated,2025-12-13
az-vm-158,Azure,AZ-ACCT-028,Database,centralindia,active,2025-07-15
az-vm-159,Azure,AZ-ACCT-029,Database,canadacentral,active,2025-10-28
az-vm-160,Azure,AZ-ACCT-029,Storage,canadacentral,active,2025-09-13
az-vm-161,Azure,AZ-ACCT-029,Storage,centralindia,active,2025-08-24
az-vm-162,Azure,AZ-ACCT-029,Storage,canadacentral,active,2025-12-12
az-vm-163,Azure,AZ-ACCT-029,Database,eastus,active,2025-08-22
az-vm-164,Azure,AZ-ACCT-029,Compute,canadacentral,active,2025-06-01
az-vm-165,Azure,AZ-ACCT-029,Database,southeastasia,active,2025-10-11
az-vm-166,Azure,AZ-ACCT-030,Database,canadacentral,active,2025-07-23
az-vm-167,Azure,AZ-ACCT-030,Storage,southeastasia,active,2025-11-26
az-vm-168,Azure,AZ-ACCT-030,Storage,eastus,zombie,2025-11-09
az-vm-169,Azure,AZ-ACCT-030,Database,westeurope,active,2025-06-04
az-vm-170,Azure,AZ-ACCT-030,Database,canadacentral,active,2025-06-30
az-vm-171,Azure,AZ-ACCT-030,Storage,eastus,active,2025-12-01
az-vm-172,Azure,AZ-ACCT-031,Database,centralindia,active,2025-09-29
az-vm-173,Azure,AZ-ACCT-031,Compute,canadacentral,active,2025-11-01
az-vm-174,Azure,AZ-ACCT-031,Database,westeurope,active,2025-09-15
az-vm-175,Azure,AZ-ACCT-031,Storage,southeastasia,terminated,2025-12-03
az-vm-176,Azure,AZ-ACCT-031,Storage,southeastasia,active,2025-07-09
az-vm-177,Azure,AZ-ACCT-031,Storage,southeastasia,active,2025-12-13
az-vm-178,Azure,AZ-ACCT-032,Storage,canadacentral,active,2025-11-26
az-vm-179,Azure,AZ-ACCT-032,Compute,southeastasia,active,2025-09-14
az-vm-180,Azure,AZ-ACCT-032,Compute,centralindia,active,2025-09-06
az-vm-181,Azure,AZ-ACCT-032,Storage,westeurope,terminated,2025-10-07
az-vm-182,Azure,AZ-ACCT-032,Database,centralindia,active,2025-09-21
az-vm-183,Azure,AZ-ACCT-032,Compute,southeastasia,terminated,2025-07-07
az-vm-184,Azure,AZ-ACCT-032,Storage,westeurope,active,2025-08-07
az-vm-185,Azure,AZ-ACCT-032,Storage,southeastasia,active,2025-08-24
az-vm-186,Azure,AZ-ACCT-033,Storage,centralindia,active,2025-10-03
az-vm-187,Azure,AZ-ACCT-033,Database,eastus,active,2025-11-23
az-vm-188,Azure,AZ-ACCT-033,Storage,westeurope,active,2025-06-26
az-vm-189,Azure,AZ-ACCT-033,Database,eastus,active,2025-06-08
az-vm-190,Azure,AZ-ACCT-033,Compute,centralindia,active,2025-09-04
az-vm-191,Azure,AZ-ACCT-033,Storage,westeurope,active,2025-11-22
az-vm-192,Azure,AZ-ACCT-033,Compute,westeurope,active,2025-09-06
az-vm-193,Azure,AZ-ACCT-033,Database,westeurope,active,2025-07-30
az-vm-194,Azure,AZ-ACCT-034,Database,centralindia,active,2025-09-28
az-vm-195,Azure,AZ-ACCT-034,Storage,southeastasia,active,2025-08-28
az-vm-196,Azure,AZ-ACCT-034,Database,centralindia,active,2025-08-04
az-vm-197,Azure,AZ-ACCT-034,Storage,centralindia,active,2025-10-02
az-vm-198,Azure,AZ-ACCT-034,Compute,westeurope,active,2025-08-15
az-vm-199,Azure,AZ-ACCT-034,Database,centralindia,zombie,2025-11-16
az-vm-200,Azure,AZ-ACCT-034,Storage,centralindia,zombie,2025-11-23
az-vm-201,Azure,AZ-ACCT-035,Database,canadacentral,active,2025-12-16
az-vm-202,Azure,AZ-ACCT-035,Compute,southeastasia,active,2025-07-19
az-vm-203,Azure,AZ-ACCT-035,Database,centralindia,active,2025-11-16
az-vm-204,Azure,AZ-ACCT-035,Database,westeurope,active,2025-11-13
gcp-inst-205,GCP,GCP-ACCT-036,Storage,us-west1,zombie,2025-09-02
gcp-inst-206,GCP,GCP-ACCT-036,Database,europe-west1,active,2025-12-09
gcp-inst-207,GCP,GCP-ACCT-036,Storage,europe-west1,active,2025-09-02
gcp-inst-208,GCP,GCP-ACCT-036,Database,asia-southeast1,active,2025-08-05
gcp-inst-209,GCP,GCP-ACCT-037,Storage,asia-south1,active,2025-06-20
gcp-inst-210,GCP,GCP-ACCT-037,Compute,europe-west1,active,2025-09-10
gcp-inst-211,GCP,GCP-ACCT-037,Database,asia-south1,active,2025-08-07
gcp-inst-212,GCP,GCP-ACCT-037,Database,us-central1,active,2025-11-20
gcp-inst-213,GCP,GCP-ACCT-037,Storage,asia-southeast1,active,2025-09-04
gcp-inst-214,GCP,GCP-ACCT-037,Compute,europe-west1,active,2025-10-22
gcp-inst-215,GCP,GCP-ACCT-037,Storage,asia-southeast1,active,2025-09-27
gcp-inst-216,GCP,GCP-ACCT-038,Database,us-west1,terminated,2025-06-10
gcp-inst-217,GCP,GCP-ACCT-038,Storage,us-west1,active,2025-10-16
gcp-inst-218,GCP,GCP-ACCT-038,Compute,us-west1,active,2025-12-08
gcp-inst-219,GCP,GCP-ACCT-038,Database,asia-southeast1,active,2025-07-10
gcp-inst-220,GCP,GCP-ACCT-038,Storage,us-central1,active,2025-08-11
gcp-inst-221,GCP,GCP-ACCT-038,Compute,asia-south1,active,2025-07-31
gcp-inst-222,GCP,GCP-ACCT-039,Compute,asia-south1,active,2025-08-31
gcp-inst-223,GCP,GCP-ACCT-039,Compute,us-west1,active,2025-09-25
gcp-inst-224,GCP,GCP-ACCT-039,Compute,europe-west1,active,2025-06-06
gcp-inst-225,GCP,GCP-ACCT-039,Compute,asia-south1,active,2025-10-23
gcp-inst-226,GCP,GCP-ACCT-039,Compute,us-central1,active,2025-10-29
gcp-inst-227,GCP,GCP-ACCT-039,Compute,europe-west1,active,2025-10-31
gcp-inst-228,GCP,GCP-ACCT-040,Storage,europe-west1,active,2025-07-15
gcp-inst-229,GCP,GCP-ACCT-040,Compute,us-central1,active,2025-07-31
gcp-inst-230,GCP,GCP-ACCT-040,Database,asia-south1,zombie,2025-08-07
gcp-inst-231,GCP,GCP-ACCT-040,Compute,europe-west1,active,2025-12-08
gcp-inst-232,GCP,GCP-ACCT-041,Storage,us-west1,active,2025-06-28
gcp-inst-233,GCP,GCP-ACCT-041,Storage,asia-southeast1,active,2025-12-04
gcp-inst-234,GCP,GCP-ACCT-041,Database,asia-southeast1,active,2025-06-08
gcp-inst-235,GCP,GCP-ACCT-041,Compute,us-west1,active,2025-06-28
gcp-inst-236,GCP,GCP-ACCT-042,Database,us-west1,active,2025-11-03
gcp-inst-237,GCP,GCP-ACCT-042,Compute,us-central1,active,2025-10-28
gcp-inst-238,GCP,GCP-ACCT-042,Database,asia-south1,active,2025-08-15
gcp-inst-239,GCP,GCP-ACCT-042,Storage,asia-southeast1,active,2025-11-27
gcp-inst-240,GCP,GCP-ACCT-042,Compute,asia-southeast1,active,2025-09-24
gcp-inst-241,GCP,GCP-ACCT-042,Compute,us-west1,active,2025-09-15
gcp-inst-242,GCP,GCP-ACCT-042,Database,us-central1,active,2025-08-05
gcp-inst-243,GCP,GCP-ACCT-043,Compute,us-west1,zombie,2025-06-22
gcp-inst-244,GCP,GCP-ACCT-043,Compute,us-west1,active,2025-07-04
gcp-inst-245,GCP,GCP-ACCT-043,Database,us-central1,active,2025-08-24
gcp-inst-246,GCP,GCP-ACCT-043,Database,us-central1,active,2025-12-10
gcp-inst-247,GCP,GCP-ACCT-043,Storage,us-central1,active,2025-08-30
gcp-inst-248,GCP,GCP-ACCT-043,Compute,asia-southeast1,active,2025-10-02
gcp-inst-249,GCP,GCP-ACCT-044,Compute,asia-south1,active,2025-12-13
gcp-inst-250,GCP,GCP-ACCT-044,Storage,asia-southeast1,active,2025-10-22
gcp-inst-251,GCP,GCP-ACCT-044,Database,asia-southeast1,active,2025-11-03
gcp-inst-252,GCP,GCP-ACCT-044,Database,asia-south1,zombie,2025-08-09
gcp-inst-253,GCP,GCP-ACCT-044,Database,asia-south1,active,2025-07-17
gcp-inst-254,GCP,GCP-ACCT-045,Database,us-west1,zombie,2025-12-07
gcp-inst-255,GCP,GCP-ACCT-045,Database,us-central1,active,2025-09-05
gcp-inst-256,GCP,GCP-ACCT-045,Storage,us-west1,active,2025-12-02
gcp-inst-257,GCP,GCP-ACCT-045,Storage,asia-southeast1,active,2025-07-10
gcp-inst-258,GCP,GCP-ACCT-045,Compute,asia-southeast1,zombie,2025-06-21
gcp-inst-259,GCP,GCP-ACCT-046,Storage,us-west1,active,2025-08-09
gcp-inst-260,GCP,GCP-ACCT-046,Compute,asia-southeast1,active,2025-08-12
gcp-inst-261,GCP,GCP-ACCT-046,Database,asia-southeast1,active,2025-06-12
gcp-inst-262,GCP,GCP-ACCT-046,Compute,us-west1,active,2025-07-23
gcp-inst-263,GCP,GCP-ACCT-046,Storage,europe-west1,active,2025-08-14
gcp-inst-264,GCP,GCP-ACCT-046,Storage,us-central1,zombie,2025-12-09
gcp-inst-265,GCP,GCP-ACCT-047,Compute,europe-west1,active,2025-10-07
gcp-inst-266,GCP,GCP-ACCT-047,Database,asia-south1,active,2025-06-11
gcp-inst-267,GCP,GCP-ACCT-047,Storage,us-central1,active,2025-08-20
gcp-inst-268,GCP,GCP-ACCT-047,Database,us-west1,active,2025-09-15
gcp-inst-269,GCP,GCP-ACCT-047,Storage,us-central1,active,2025-07-14
gcp-inst-270,GCP,GCP-ACCT-047,Database,us-west1,active,2025-06-23
gcp-inst-271,GCP,GCP-ACCT-047,Storage,us-central1,active,2025-10-13
gcp-inst-272,GCP,GCP-ACCT-048,Storage,asia-south1,active,2025-12-17
gcp-inst-273,GCP,GCP-ACCT-048,Compute,us-central1,active,2025-10-09
gcp-inst-274,GCP,GCP-ACCT-048,Compute,asia-south1,active,2025-11-13
gcp-inst-275,GCP,GCP-ACCT-048,Compute,europe-west1,active,2025-07-15
gcp-inst-276,GCP,GCP-ACCT-049,Compute,us-central1,active,2025-10-05
gcp-inst-277,GCP,GCP-ACCT-049,Storage,asia-southeast1,active,2025-10-23
gcp-inst-278,GCP,GCP-ACCT-049,Database,asia-southeast1,active,2025-08-20
gcp-inst-279,GCP,GCP-ACCT-049,Compute,us-west1,zombie,2025-09-22
gcp-inst-280,GCP,GCP-ACCT-049,Database,asia-south1,active,2025-08-30
gcp-inst-281,GCP,GCP-ACCT-049,Database,us-central1,active,2025-06-15
gcp-inst-282,GCP,GCP-ACCT-049,Storage,asia-south1,active,2025-06-24
gcp-inst-283,GCP,GCP-ACCT-049,Database,asia-southeast1,active,2025-10-20
gcp-inst-284,GCP,GCP-ACCT-050,Storage,asia-southeast1,active,2025-09-30
gcp-inst-285,GCP,GCP-ACCT-050,Database,europe-west1,active,2025-08-27
gcp-inst-286,GCP,GCP-ACCT-050,Database,us-central1,active,2025-08-03
gcp-inst-287,GCP,GCP-ACCT-050,Database,us-west1,active,2025-11-04
