Log_ID,Source,Timestamp,Reference_Timestamp,Skew_Seconds,Resource_ID,Log_Level,Message
LOG-0033,app_log,2026/01/07 03:25,2026-01-07T03:26:00Z,-40.6,aws-ec2-091,DEBUG,Service restarted after crash
LOG-0034,cloudwatch,16-02-2026 01:04:38,2026-02-16T01:05:00Z,-21.3,gcp-inst-282,INFO,Certificate renewal completed
LOG-0035,app_log,2026-03-02T04:06:32+00:00,2026-03-02T04:07:00Z,-27.1,aws-ec2-030,INFO,Service restarted after crash
LOG-0036,gcp_logging,2026-03-22T16:06:41+01:00,2026-03-22T16:05:00Z,101.3,az-vm-182,WARN,Service restarted after crash
LOG-0037,app_log,2026-03-14T15:32:59-08:00,2026-03-14T15:33:00Z,-0.3,aws-ec2-100,INFO,Disk utilization exceeded 90%
LOG-0038,app_log,2026-0104 14:40,2026-01-04T14:40:00Z,28.5,gcp-inst-212,INFO,Rate limit exceeded for API endpoint
LOG-0039,gcp_logging,2026-02-14T17:50:01+05:30,2026-02-14T17:51:00Z,-58.6,az-vm-158,ERROR,Failed to resolve DNS for endpoint
LOG-0040,app_log,2026/03/12 10:50,2026-03-12T10:49:00Z,101.2,aws-ec2-015,WARN,Auto-scaling triggered: adding 2 instances
LOG-0041,azure_monitor,2026-02-12T10:59:49Z,2026-02-12T10:59:00Z,49.9,gcp-inst-236,ERROR,Backup completed successfully
LOG-0042,gcp_logging,2026/02/22 23:02,2026-02-22T23:03:00Z,-24.1,aws-ec2-010,WARN,Service restarted after crash
LOG-0043,azure_monitor,2026-03-29T10:51:35+05:30,2026-03-29T10:51:00Z,35.5,az-vm-174,DEBUG,Failed to resolve DNS for endpoint
LOG-0044,gcp_logging,22-01-2026 18:39:35,2026-01-22T18:38:00Z,95.7,az-vm-140,DEBUG,Disk utilization exceeded 90%
LOG-0045,azure_monitor,2026-03-05T07:21:02+05:30,2026-03-05T07:23:00Z,-117.0,aws-ec2-104,INFO,Backup completed successfully
LOG-0046,syslog,06-03-2026 00:49:29,2026-03-06T00:51:00Z,-90.0,gcp-inst-269,ERROR,Rate limit exceeded for API endpoint
LOG-0047,azure_monitor,19-01-2026 03:52:01,2026-01-19T03:52:00Z,1.9,gcp-inst-236,DEBUG,Failed to resolve DNS for endpoint
LOG-0048,cloudwatch,2026-01-15T00:19:22+05:30,2026-01-15T00:19:00Z,22.4,aws-ec2-053,ERROR,Connection timeout after 30s
LOG-0049,gcp_logging,2026-03-15T09:39:38Z,2026-03-15T09:40:00Z,-21.5,gcp-inst-226,INFO,Certificate renewal completed
LOG-0050,gcp_logging,2026-01-20T05:15:02Z,2026-01-20T05:17:00Z,-117.5,az-vm-139,WARN,Certificate renewal completed
LOG-0051,cloudwatch,2026-03-15T07:11:36-05:00,2026-03-15T07:10:00Z,96.8,aws-ec2-026,INFO,Memory allocation failure on node
LOG-0052,gcp_logging,2026-01-07T02:28:42+00:00,2026-01-07T02:27:00Z,102.3,gcp-inst-274,INFO,Backup completed successfully
LOG-0053,syslog,2026-03-14T04:05:50-05:00,2026-03-14T04:05:00Z,50.4,gcp-inst-241,WARN,Auto-scaling triggered: adding 2 instances
LOG-0054,gcp_logging,19-01-2026 19:15:47,2026-01-19T19:16:00Z,-13.0,az-vm-167,DEBUG,Backup completed successfully
LOG-0055,gcp_logging,2026/01/04 02:28,2026-01-04T02:30:00Z,-88.7,aws-ec2-066,INFO,Memory allocation failure on node
LOG-0056,syslog,2026/01/14 10:35,2026-01-14T10:35:00Z,35.1,az-vm-123,WARN,Failed to resolve DNS for endpoint
LOG-0057,syslog,2026/01/21 15:25,2026-01-21T15:24:00Z,72.5,az-vm-176,WARN,Health check passed successfully
LOG-0058,cloudwatch,2026/03/26 21:04,2026-03-26T21:04:00Z,25.4,gcp-inst-238,ERROR,Failed to resolve DNS for endpoint
LOG-0059,app_log,13-01-2026 14:09:35,2026-01-13T14:11:00Z,-84.3,az-vm-195,ERROR,Backup completed successfully
LOG-0060,azure_monitor,2026-03-24T21:01:10Z,2026-03-24T21:03:00Z,-109.0,az-vm-150,DEBUG,Service restarted after crash
LOG-0061,gcp_logging,2026-0315 14:13,2026-03-15T14:12:00Z,112.6,gcp-inst-223,ERROR,Disk utilization exceeded 90%
LOG-0062,gcp_logging,2026-03-16T00:38:48+01:00,2026-03-16T00:39:00Z,-11.5,aws-ec2-028,INFO,Failed to resolve DNS for endpoint
LOG-0063,syslog,2026/02/15 03:56,2026-02-15T03:55:00Z,61.9,az-vm-196,DEBUG,Memory allocation failure on node
LOG-0064,syslog,2026-02-25 17:12:56,2026-02-25T17:13:00Z,-3.0,az-vm-185,DEBUG,Health check passed successfully
LOG-0065,syslog,2026/02/06 21:06,2026-02-06T21:08:00Z,-64.3,aws-ec2-070,INFO,Health check passed successfully
LOG-0066,syslog,2026-03-24T13:56:47Z,2026-03-24T13:55:00Z,107.3,gcp-inst-283,DEBUG,Memory allocation failure on node
LOG-0067,azure_monitor,15-02-2026 07:12:00,2026-02-15T07:11:00Z,60.4,az-vm-138,DEBUG,Failed to resolve DNS for endpoint
LOG-0068,cloudwatch,2026/03/15 11:02,2026-03-15T11:02:00Z,8.2,aws-ec2-041,WARN,Failed to resolve DNS for endpoint
LOG-0069,cloudwatch,2026/02/05 14:31,2026-02-05T14:33:00Z,-113.4,gcp-inst-277,ERROR,Service restarted after crash
LOG-0070,syslog,2026/01/07 10:33,2026-01-07T10:34:00Z,-3.7,az-vm-170,DEBUG,Rate limit exceeded for API endpoint
LOG-0071,app_log,2026-02-07T09:11:55-05:00,2026-02-07T09:10:00Z,115.4,aws-ec2-087,INFO,Certificate renewal completed
LOG-0072,gcp_logging,2026-03-21T00:16:52+01:00,2026-03-21T00:18:00Z,-67.6,az-vm-144,ERROR,Certificate renewal completed
LOG-0073,syslog,2026-01-02T23:07:49Z,2026-01-02T23:07:00Z,49.2,aws-ec2-090,ERROR,Auto-scaling triggered: adding 2 instances
LOG-0074,azure_monitor,2026/03/04 05:50,2026-03-04T05:51:00Z,-56.0,aws-ec2-079,DEBUG,Memory allocation failure on node
LOG-0075,gcp_logging,2026-02-19T07:40:21-08:00,2026-02-19T07:42:00Z,-98.3,aws-ec2-060,INFO,Health check passed successfully
LOG-0076,syslog,2026-03-01T12:28:15Z,2026-03-01T12:30:00Z,-104.8,aws-ec2-075,DEBUG,Connection timeout after 30s
LOG-0077,cloudwatch,2026-02-06T14:24:55+01:00,2026-02-06T14:24:00Z,55.4,az-vm-182,DEBUG,Service restarted after crash
LOG-0078,syslog,2026-03-25T08:22:48Z,2026-03-25T08:21:00Z,108.1,az-vm-124,WARN,Failed to resolve DNS for endpoint
LOG-0079,cloudwatch,2026-02-13 21:43:37,2026-02-13T21:44:00Z,,aws-ec2-007,DEBUG,Disk utilization exceeded 90%
LOG-0080,cloudwatch,NULL,2026-03-09T03:43:00Z,73.2,aws-ec2-048,INFO,Service restarted after crash
LOG-0081,app_log,2026-03-26T06:38:24+01:00,2026-03-26T06:38:00Z,25.0,aws-ec2-095,INFO,Health check passed successfully
LOG-0082,gcp_logging,02-02-2026 09:28:09,2026-02-02T09:29:00Z,-50.9,az-vm-166,ERROR,Health check passed successfully
LOG-0083,gcp_logging,2026-01-10T08:47:36+05:30,2026-01-10T08:49:00Z,-83.3,gcp-inst-252,WARN,Service restarted after crash
LOG-0084,cloudwatch,2026-0220 05:42,2026-02-20T05:41:00Z,68.6,az-vm-133,INFO,Connection timeout after 30s
LOG-0085,syslog,2026-01-10T02:36:33+05:30,2026-01-10T02:36:00Z,,aws-ec2-020,DEBUG,Certificate renewal completed
LOG-0086,syslog,2026-01-20T22:21:08Z,2026-01-20T22:21:00Z,9.0,gcp-inst-207,INFO,Failed to resolve DNS for endpoint
LOG-0087,app_log,2026-01-29T00:24:38Z,2026-01-29T00:24:00Z,38.2,az-vm-184,ERROR,Certificate renewal completed
LOG-0088,gcp_logging,2026-02-21T01:40:17-05:00,2026-02-21T01:40:00Z,17.6,az-vm-149,WARN,Health check passed successfully
LOG-0089,cloudwatch,2026/03/12 01:23,2026-03-12T01:24:00Z,-24.1,az-vm-184,DEBUG,Disk utilization exceeded 90%
LOG-0090,app_log,2026-03-22T14:45:57-05:00,2026-03-22T14:47:00Z,-62.1,aws-ec2-033,ERROR,Backup completed successfully
LOG-0091,azure_monitor,2026-03-10 13:59:56,2026-03-10T14:01:00Z,-63.4,gcp-inst-268,DEBUG,Failed to resolve DNS for endpoint
LOG-0092,cloudwatch,2026-01-20T23:35:55Z,2026-01-20T23:37:00Z,-64.3,aws-ec2-024,WARN,Health check passed successfully
LOG-0093,azure_monitor,2026-01-02 05:38:41,2026-01-02T05:40:00Z,-78.4,aws-ec2-033,INFO,Disk utilization exceeded 90%
LOG-0094,gcp_logging,2026-03-05 19:50:07,2026-03-05T19:51:00Z,-52.4,gcp-inst-206,ERROR,Disk utilization exceeded 90%
LOG-0095,app_log,2026-03-29T18:32:09+05:30,2026-03-29T18:34:00Z,-110.2,aws-ec2-062,ERROR,Health check passed successfully
LOG-0096,cloudwatch,2026-02-23T05:42:50+01:00,2026-02-23T05:44:00Z,-69.9,az-vm-193,WARN,Connection timeout after 30s
LOG-0097,syslog,2026/03/04 02:01,2026-03-04T02:00:00Z,115.6,aws-ec2-106,WARN,Certificate renewal completed
LOG-0098,syslog,2026/03/08 14:24,2026-03-08T14:26:00Z,-70.5,aws-ec2-046,ERROR,Rate limit exceeded for API endpoint
LOG-0099,app_log,2026-02-23T00:33:52Z,2026-02-23T00:35:00Z,-67.1,gcp-inst-238,WARN,Certificate renewal completed
LOG-0100,syslog,2026-01-07T06:07:22Z,2026-01-07T06:07:00Z,22.2,aws-ec2-082,INFO,Connection timeout after 30s
LOG-0101,cloudwatch,2026-0324 11:19,2026-03-24T11:18:00Z,,aws-ec2-091,WARN,Connection timeout after 30s
LOG-0102,gcp_logging,2026-03-04T16:08:14Z,2026-03-04T16:07:00Z,74.1,az-vm-167,WARN,Disk utilization exceeded 90%
LOG-0103,azure_monitor,2026-02-11T07:04:35+01:00,2026-02-11T07:06:00Z,-84.8,gcp-inst-249,INFO,Memory allocation failure on node
LOG-0104,syslog,19-01-2026 06:58:21,2026-01-19T06:59:00Z,-38.6,az-vm-184,ERROR,Auto-scaling triggered: adding 2 instances
LOG-0105,syslog,2026-02-12T04:01:07Z,2026-02-12T04:02:00Z,-52.8,aws-ec2-088,ERROR,Auto-scaling triggered: adding 2 instances
LOG-0106,azure_monitor,2026/02/07 19:10,2026-02-07T19:10:00Z,16.6,gcp-inst-284,WARN,Disk utilization exceeded 90%
LOG-0107,syslog,2026-02-22T16:30:25-05:00,2026-02-22T16:31:00Z,-34.0,az-vm-127,WARN,Rate limit exceeded for API endpoint
LOG-0108,app_log,2026-02-25 18:14:11,2026-02-25T18:14:00Z,11.0,gcp-inst-214,INFO,Connection timeout after 30s
LOG-0109,cloudwatch,2026-03-02T23:48:51Z,2026-03-02T23:49:00Z,-8.9,az-vm-124,INFO,Failed to resolve DNS for endpoint
LOG-0110,cloudwatch,,2026-01-02T22:46:00Z,73.1,az-vm-157,WARN,Backup completed successfully
LOG-0111,syslog,2026-03-15T23:35:32-08:00,2026-03-15T23:37:00Z,-87.3,gcp-inst-238,INFO,Disk utilization exceeded 90%
LOG-0112,app_log,2026-02-19T22:20:35Z,2026-02-19T22:21:00Z,-24.4,aws-ec2-107,INFO,Service restarted after crash
LOG-0113,cloudwatch,2026-02-13T00:00:56Z,2026-02-12T23:59:00Z,116.7,gcp-inst-239,INFO,Rate limit exceeded for API endpoint
LOG-0114,azure_monitor,2026-02-16T05:40:08-08:00,2026-02-16T05:41:00Z,-52.0,az-vm-123,INFO,Backup completed successfully
LOG-0115,gcp_logging,2026-03-16T22:13:31Z,2026-03-16T22:13:00Z,31.3,gcp-inst-217,ERROR,Connection timeout after 30s
LOG-0116,app_log,2026/01/09 11:20,2026-01-09T11:22:00Z,-90.1,gcp-inst-273,ERROR,Backup completed successfully
LOG-0117,cloudwatch,2026-03-21T11:51:23-05:00,2026-03-21T11:51:00Z,23.2,aws-ec2-045,INFO,Memory allocation failure on node
LOG-0118,azure_monitor,2026-01-23T09:02:43Z,2026-01-23T09:04:00Z,-76.6,aws-ec2-012,ERROR,Memory allocation failure on node
LOG-0119,cloudwatch,2026-03-29T18:00:20+05:30,2026-03-29T17:59:00Z,80.8,aws-ec2-012,WARN,Failed to resolve DNS for endpoint
LOG-0120,syslog,2026/03/24 10:26,2026-03-24T10:26:00Z,18.7,gcp-inst-272,DEBUG,Backup completed successfully
LOG-0121,azure_monitor,2026-02-08T18:07:36Z,2026-02-08T18:08:00Z,-23.2,az-vm-148,INFO,Health check passed successfully
LOG-0122,app_log,2026-02-15T09:29:14+00:00,2026-02-15T09:29:00Z,14.2,aws-ec2-079,WARN,Auto-scaling triggered: adding 2 instances
LOG-0123,azure_monitor,2026/01/15 01:19,2026-01-15T01:20:00Z,-7.1,aws-ec2-018,ERROR,Rate limit exceeded for API endpoint
LOG-0124,cloudwatch,2026-01-19T11:27:19Z,2026-01-19T11:28:00Z,-40.5,gcp-inst-256,WARN,Backup completed successfully
LOG-0125,gcp_logging,2026-02-10T04:00:05Z,2026-02-10T04:00:00Z,5.5,az-vm-149,WARN,Service restarted after crash
LOG-0126,app_log,2026-02-26T10:42:31+05:30,2026-02-26T10:44:00Z,-88.7,gcp-inst-206,WARN,Backup completed successfully
LOG-0127,gcp_logging,2026-02-15T02:18:21+05:30,2026-02-15T02:20:00Z,-98.5,gcp-inst-276,DEBUG,Disk utilization exceeded 90%
LOG-0128,gcp_logging,2026-03-07T12:10:23Z,2026-03-07T12:12:00Z,-96.2,gcp-inst-219,ERROR,Memory allocation failure on node
LOG-0129,cloudwatch,2026-02-17T00:19:18-05:00,2026-02-17T00:18:00Z,78.5,gcp-inst-213,DEBUG,Certificate renewal completed
LOG-0130,app_log,2026-01-21T23:55:06+00:00,2026-01-21T23:57:00Z,-113.8,az-vm-156,DEBUG,Failed to resolve DNS for endpoint
LOG-0131,syslog,2026/02/12 02:59,2026-02-12T02:59:00Z,30.7,az-vm-140,DEBUG,Health check passed successfully
LOG-0132,syslog,2026-03-13T14:45:49-05:00,2026-03-13T14:45:00Z,49.8,aws-ec2-022,ERROR,Service restarted after crash
LOG-0133,azure_monitor,2026-02-08T15:34:26-05:00,2026-02-08T15:35:00Z,-33.1,aws-ec2-064,ERROR,Memory allocation failure on node
LOG-0134,gcp_logging,2026-01-23T15:57:29Z,2026-01-23T15:58:00Z,-30.6,aws-ec2-035,ERROR,Service restarted after crash
LOG-0135,cloudwatch,2026-03-03T18:27:15Z,2026-03-03T18:27:00Z,15.4,aws-ec2-009,ERROR,Health check passed successfully
LOG-0136,cloudwatch,2026-03-16T01:07:07-05:00,2026-03-16T01:09:00Z,-112.7,az-vm-183,INFO,Certificate renewal completed
LOG-0137,azure_monitor,07-02-2026 16:40:01,2026-02-07T16:40:00Z,1.7,aws-ec2-086,ERROR,Rate limit exceeded for API endpoint
LOG-0138,app_log,2026-03-29T09:17:22Z,2026-03-29T09:17:00Z,22.6,aws-ec2-074,INFO,Health check passed successfully
LOG-0139,azure_monitor,2026-03-08T09:22:49+00:00,2026-03-08T09:23:00Z,-10.6,gcp-inst-258,WARN,Auto-scaling triggered: adding 2 instances
LOG-0140,app_log,13-03-2026 19:44:03,2026-03-13T19:44:00Z,3.1,aws-ec2-059,DEBUG,Backup completed successfully
LOG-0141,gcp_logging,2026-01-10T03:53:01-05:00,2026-01-10T03:52:00Z,61.0,gcp-inst-268,ERROR,Health check passed successfully
LOG-0142,azure_monitor,2026/02/08 00:46,2026-02-08T00:47:00Z,-33.3,az-vm-158,WARN,Auto-scaling triggered: adding 2 instances
LOG-0143,syslog,17-01-2026 02:27:34,2026-01-17T02:27:00Z,34.1,aws-ec2-022,WARN,Disk utilization exceeded 90%
LOG-0144,cloudwatch,2026-01-05T21:31:56+05:30,2026-01-05T21:32:00Z,-3.7,aws-ec2-050,INFO,Service restarted after crash
LOG-0145,gcp_logging,2026-0127 18:55,2026-01-27T18:57:00Z,-100.2,az-vm-179,ERROR,Health check passed successfully
LOG-0146,cloudwatch,2026-03-06T23:37:25Z,2026-03-06T23:39:00Z,-94.2,aws-ec2-099,ERROR,Health check passed successfully
LOG-0147,app_log,2026-03-10T00:47:12+05:30,2026-03-10T00:46:00Z,72.8,aws-ec2-093,ERROR,Memory allocation failure on node
LOG-0148,cloudwatch,2026-02-24T06:33:06Z,2026-02-24T06:32:00Z,66.8,gcp-inst-254,ERROR,Certificate renewal completed
LOG-0149,app_log,13-03-2026 23:03:29,2026-03-13T23:02:00Z,89.6,gcp-inst-228,WARN,Failed to resolve DNS for endpoint
LOG-0150,gcp_logging,2026-02-22T09:55:51-05:00,2026-02-22T09:54:00Z,111.4,aws-ec2-054,DEBUG,Backup completed successfully
LOG-0151,cloudwatch,08-03-2026 21:44:08,2026-03-08T21:43:00Z,68.6,aws-ec2-087,INFO,Rate limit exceeded for API endpoint
LOG-0152,syslog,26-01-2026 10:12:58,2026-01-26T10:12:00Z,58.9,az-vm-143,ERROR,Memory allocation failure on node
LOG-0153,gcp_logging,2026-02-15T15:41:48-05:00,2026-02-15T15:42:00Z,-11.5,aws-ec2-056,INFO,Certificate renewal completed
LOG-0154,cloudwatch,2026-03-04 15:13:16,2026-03-04T15:14:00Z,-43.8,gcp-inst-256,INFO,Health check passed successfully
LOG-0155,app_log,18-02-2026 19:41:41,2026-02-18T19:43:00Z,-78.2,gcp-inst-239,WARN,Certificate renewal completed
LOG-0156,app_log,2026-03-26T15:31:05Z,2026-03-26T15:31:00Z,5.1,aws-ec2-017,DEBUG,Disk utilization exceeded 90%
LOG-0157,azure_monitor,2026/02/19 14:19,2026-02-19T14:20:00Z,,az-vm-156,WARN,Backup completed successfully
LOG-0158,syslog,2026/02/25 04:18,2026-02-25T04:19:00Z,-1.5,gcp-inst-277,DEBUG,Backup completed successfully
LOG-0159,gcp_logging,13-03-2026 05:33:15,2026-03-13T05:32:00Z,75.8,az-vm-146,ERROR,Connection timeout after 30s
LOG-0160,gcp_logging,2026-01-04T18:00:38Z,2026-01-04T18:02:00Z,-82.0,gcp-inst-220,ERROR,Rate limit exceeded for API endpoint
LOG-0161,app_log,2026-02-22T11:02:29+05:30,2026-02-22T11:03:00Z,-30.3,az-vm-157,INFO,Rate limit exceeded for API endpoint
LOG-0162,syslog,2026-01-22T00:35:27-05:00,2026-01-22T00:34:00Z,87.7,aws-ec2-012,ERROR,Memory allocation failure on node
LOG-0163,azure_monitor,2026-03-15T12:20:36+01:00,2026-03-15T12:20:00Z,37.0,az-vm-174,WARN,Service restarted after crash
LOG-0164,app_log,2026-02-08T11:25:21-08:00,2026-02-08T11:27:00Z,-98.1,aws-ec2-025,ERROR,Service restarted after crash
LOG-0165,cloudwatch,2026/02/21 07:38,2026-02-21T07:39:00Z,-49.0,az-vm-140,INFO,Service restarted after crash
LOG-0166,gcp_logging,2026-03-09T15:28:47Z,2026-03-09T15:27:00Z,107.7,gcp-inst-277,ERROR,Auto-scaling triggered: adding 2 instances
LOG-0167,azure_monitor,2026-02-23 12:15:54,2026-02-23T12:16:00Z,-5.6,gcp-inst-265,WARN,Service restarted after crash
LOG-0168,app_log,2026-03-05 06:42:29,2026-03-05T06:42:00Z,29.1,gcp-inst-223,INFO,Failed to resolve DNS for endpoint
LOG-0169,syslog,2026-01-26T11:30:09+05:30,2026-01-26T11:29:00Z,69.0,aws-ec2-105,DEBUG,Certificate renewal completed
LOG-0170,azure_monitor,2026-02-06T20:11:36+00:00,2026-02-06T20:10:00Z,96.1,az-vm-159,DEBUG,Backup completed successfully
LOG-0171,azure_monitor,NULL,2026-03-13T13:27:00Z,-55.6,az-vm-143,WARN,Connection timeout after 30s
LOG-0172,cloudwatch,2026-0304 00:02,2026-03-04T00:03:00Z,-49.9,gcp-inst-209,ERROR,Disk utilization exceeded 90%
LOG-0173,app_log,2026-0220 23:51,2026-02-20T23:53:00Z,-66.7,gcp-inst-269,ERROR,Backup completed successfully
LOG-0174,syslog,2026-01-12 07:39:48,2026-01-12T07:38:00Z,108.4,az-vm-121,DEBUG,Auto-scaling triggered: adding 2 instances
LOG-0175,app_log,2026-01-19T03:12:16+01:00,2026-01-19T03:11:00Z,76.5,az-vm-192,INFO,Rate limit exceeded for API endpoint
LOG-0176,azure_monitor,2026-03-11T13:30:55Z,2026-03-11T13:30:00Z,55.6,az-vm-189,ERROR,Connection timeout after 30s
LOG-0177,azure_monitor,2026-03-24T19:02:19-05:00,2026-03-24T19:02:00Z,19.5,az-vm-159,ERROR,Disk utilization exceeded 90%
LOG-0178,gcp_logging,2026-03-10T07:55:00+00:00,2026-03-10T07:54:00Z,60.5,az-vm-153,WARN,Health check passed successfully
LOG-0179,cloudwatch,2026-02-26T20:20:32+05:30,2026-02-26T20:20:00Z,32.0,gcp-inst-252,DEBUG,Memory allocation failure on node
LOG-0180,gcp_logging,2026-02-12T22:27:38Z,2026-02-12T22:27:00Z,38.4,az-vm-181,DEBUG,Service restarted after crash
LOG-0181,azure_monitor,2026/03/12 23:18,2026-03-12T23:20:00Z,-61.6,aws-ec2-070,INFO,Memory allocation failure on node
LOG-0182,azure_monitor,2026-01-26 20:17:55,2026-01-26T20:19:00Z,-64.9,gcp-inst-211,ERROR,Backup completed successfully
LOG-0183,azure_monitor,2026-03-03T23:09:41-08:00,2026-03-03T23:08:00Z,101.2,aws-ec2-094,DEBUG,Memory allocation failure on node
LOG-0184,azure_monitor,2026-0315 07:01,2026-03-15T07:01:00Z,50.8,gcp-inst-237,WARN,Certificate renewal completed
LOG-0185,gcp_logging,2026-03-31T05:04:25+01:00,2026-03-31T05:03:00Z,85.7,aws-ec2-061,INFO,Failed to resolve DNS for endpoint
LOG-0186,azure_monitor,2026-0225 14:51,2026-02-25T14:52:00Z,-45.8,az-vm-137,ERROR,Backup completed successfully
LOG-0187,gcp_logging,18-02-2026 04:27:12,2026-02-18T04:27:00Z,12.0,aws-ec2-097,DEBUG,Health check passed successfully
LOG-0188,gcp_logging,2026/02/22 04:02,2026-02-22T04:01:00Z,75.7,gcp-inst-235,INFO,Connection timeout after 30s
LOG-0189,syslog,02-03-2026 04:53:18,2026-03-02T04:55:00Z,-101.6,az-vm-132,INFO,Disk utilization exceeded 90%
LOG-0190,app_log,13-03-2026 01:04:14,2026-03-13T01:03:00Z,74.1,aws-ec2-024,INFO,Certificate renewal completed
LOG-0191,app_log,1970-01-01T00:00:00Z,2026-03-06T19:24:00Z,83.7,aws-ec2-092,ERROR,Health check passed successfully
LOG-0192,app_log,2026-03-06T15:57:31Z,2026-03-06T15:59:00Z,-88.1,az-vm-134,INFO,Rate limit exceeded for API endpoint
LOG-0193,syslog,2026-01-06T04:31:40-08:00,2026-01-06T04:31:00Z,40.2,az-vm-136,ERROR,Memory allocation failure on node
LOG-0194,syslog,2026-01-22T10:47:31+00:00,2026-01-22T10:47:00Z,31.6,aws-ec2-028,WARN,Health check passed successfully
