Account_ID,Total_Resources,Valid_Owner_Tags,Valid_Env_Tags,Owner_Compliance_Pct,Env_Compliance_Pct,Overall_Compliance_Pct
GCP-ACCT-042,192,192,192,100.0,100.0,100.0
GCP-ACCT-043,167,167,167,100.0,100.0,100.0
GCP-ACCT-044,192,192,192,100.0,100.0,100.0
GCP-ACCT-045,185,185,185,100.0,100.0,100.0
GCP-ACCT-046,168,168,168,100.0,100.0,100.0
GCP-ACCT-047,174,174,174,100.0,100.0,100.0
GCP-ACCT-048,196,196,196,100.0,100.0,100.0
GCP-ACCT-049,179,179,179,100.0,100.0,100.0
GCP-ACCT-050,196,196,196,100.0,100.0,100.0
GCP_ACCT_036,11,11,11,100.0,100.0,100.0
GCP_ACCT_037,12,12,12,100.0,100.0,100.0
GCP_ACCT_038,3,3,3,100.0,100.0,100.0
GCP_ACCT_039,7,7,7,100.0,100.0,100.0
GCP_ACCT_040,5,5,5,100.0,100.0,100.0
GCP_ACCT_041,2,2,2,100.0,100.0,100.0
GCP_ACCT_042,3,3,3,100.0,100.0,100.0
GCP_ACCT_043,4,4,4,100.0,100.0,100.0
GCP_ACCT_044,8,8,8,100.0,100.0,100.0
GCP_ACCT_045,7,7,7,100.0,100.0,100.0
GCP_ACCT_046,5,5,5,100.0,100.0,100.0
GCP_ACCT_047,8,8,8,100.0,100.0,100.0
GCP_ACCT_048,7,7,7,100.0,100.0,100.0
GCP_ACCT_049,9,9,9,100.0,100.0,100.0
GCP_ACCT_050,11,11,11,100.0,100.0,100.0
aws-acct-001,13,13,13,100.0,100.0,100.0
aws-acct-002,5,5,5,100.0,100.0,100.0
aws-acct-003,3,3,3,100.0,100.0,100.0
aws-acct-004,5,5,5,100.0,100.0,100.0
aws-acct-005,8,8,8,100.0,100.0,100.0
aws-acct-006,6,6,6,100.0,100.0,100.0
aws-acct-007,9,9,9,100.0,100.0,100.0
aws-acct-008,7,7,7,100.0,100.0,100.0
aws-acct-009,4,4,4,100.0,100.0,100.0
aws-acct-010,7,7,7,100.0,100.0,100.0
aws-acct-011,5,5,5,100.0,100.0,100.0
aws-acct-012,5,5,5,100.0,100.0,100.0
aws-acct-013,9,9,9,100.0,100.0,100.0
aws-acct-014,13,13,13,100.0,100.0,100.0
aws-acct-015,8,8,8,100.0,100.0,100.0
aws-acct-016,9,9,9,100.0,100.0,100.0
aws-acct-017,3,3,3,100.0,100.0,100.0
aws-acct-018,5,5,5,100.0,100.0,100.0
aws-acct-019,9,9,9,100.0,100.0,100.0
aws-acct-020,5,5,5,100.0,100.0,100.0
az-acct-021,5,5,5,100.0,100.0,100.0
az-acct-022,4,4,4,100.0,100.0,100.0
az-acct-023,8,8,8,100.0,100.0,100.0
az-acct-024,10,10,10,100.0,100.0,100.0
az-acct-025,14,14,14,100.0,100.0,100.0
az-acct-026,10,10,10,100.0,100.0,100.0
az-acct-027,4,4,4,100.0,100.0,100.0
az-acct-028,5,5,5,100.0,100.0,100.0
az-acct-029,9,9,9,100.0,100.0,100.0
az-acct-030,4,4,4,100.0,100.0,100.0
az-acct-031,6,6,6,100.0,100.0,100.0
az-acct-032,4,4,4,100.0,100.0,100.0
az-acct-033,9,9,9,100.0,100.0,100.0
az-acct-034,10,10,10,100.0,100.0,100.0
az-acct-035,5,5,5,100.0,100.0,100.0
gcp-acct-036,6,6,6,100.0,100.0,100.0
gcp-acct-037,6,6,6,100.0,100.0,100.0
gcp-acct-038,13,13,13,100.0,100.0,100.0
gcp-acct-039,7,7,7,100.0,100.0,100.0
gcp-acct-040,8,8,8,100.0,100.0,100.0
gcp-acct-041,3,3,3,100.0,100.0,100.0
gcp-acct-042,8,8,8,100.0,100.0,100.0
gcp-acct-043,5,5,5,100.0,100.0,100.0
gcp-acct-044,11,11,11,100.0,100.0,100.0
gcp-acct-045,7,7,7,100.0,100.0,100.0
gcp-acct-046,7,7,7,100.0,100.0,100.0
gcp-acct-047,5,5,5,100.0,100.0,100.0
gcp-acct-048,7,7,7,100.0,100.0,100.0
gcp-acct-049,3,3,3,100.0,100.0,100.0
gcp-acct-050,3,3,3,100.0,100.0,100.0
