Date,Service_Clean,Daily_Cost,Rolling_7D_Avg,Forecast_Next_Month_Daily_Avg
2026-01-03,Database,31585.8484,21846.933955,22939.28065275
2026-01-04,Database,23341.57586,22145.862336,23253.155452799998
2026-01-05,Database,33571.50512,24050.136133333333,25252.64294
2026-01-06,Database,30048.08782,24906.986374285712,26152.335693
2026-01-07,Database,23162.376,28210.752351428575,29621.289969000005
2026-01-08,Database,31773.807240000002,28123.32413714286,29529.490344000005
2026-01-09,Database,51018.20676,32071.629599999997,33675.21108
2026-01-10,Database,29461.642300000003,31768.171585714288,33356.58016500001
2026-01-11,Database,49664.471919999996,35528.585308571426,37305.014574
2026-01-12,Database,9528.77368,32093.90938857143,33698.604858
2026-01-13,Database,42755.45954,33909.248205714284,35604.710616
2026-01-14,Database,22029.19324,33747.36495428572,35434.733202
2026-01-15,Database,24201.328139999998,32665.582225714286,34298.861337
2026-01-16,Database,34548.04872,30312.702505714286,31828.337631000002
2026-01-17,Database,37699.4345,31489.52996285714,33064.006461
2026-01-18,Database,36636.2859,29628.36053142857,31109.778558
2026-01-19,Database,30286.182780000003,32593.70468857143,34223.389923
2026-01-20,Database,32064.89876,31066.48172,32619.805806
2026-01-21,Database,27398.19602,31833.482117142856,33425.156223
2026-01-22,Database,16547.51532,30740.080285714288,32277.084300000002
2026-01-23,Database,37751.0682,31197.65449714286,32757.537222000003
2026-01-24,Database,35268.64972,30850.39952857143,32392.919505
2026-01-25,Database,33393.1002,30387.087285714286,31906.44165
2026-01-26,Database,28870.82012,30184.89262,31694.137251
2026-01-27,Database,27195.00176,29489.193048571433,30963.652701000006
2026-01-28,Database,27729.16782,29536.47473428571,31013.298471
2026-01-29,Database,24446.5066,30664.90206,32198.147163
2026-01-30,Database,27068.92606,29138.881754285714,30595.825842000002
2026-01-31,Database,19091.543120000002,26827.866525714286,28169.259852000003
2026-02-01,Database,25807.46478,25744.204322857142,27031.414539
2026-02-02,Database,40872.58558,27458.74224571429,28831.679358000005
2026-02-03,Database,39891.9418,29272.59082285714,30736.220363999997
2026-02-04,Database,27964.61568,29306.226231428573,30771.537543000002
2026-02-05,Database,30578.94484,30182.288837142853,31691.403279
2026-02-06,Database,36855.37232,31580.35258857143,33159.370218000004
2026-02-07,Database,35468.14562,33919.86723142857,35615.860593000005
2026-02-08,Database,28370.19204,34285.971125714284,36000.269682
2026-02-09,Database,41861.42828,34427.23436857143,36148.596087000005
2026-02-10,Database,39255.542160000005,34336.320134285714,36053.136141
2026-02-11,Database,53608.48422,37999.72992571428,39899.716422
2026-02-12,Database,37472.72314,38984.55539714285,40933.783166999994
2026-02-13,Database,30503.397380000002,38077.130405714284,39980.986926
2026-02-14,Database,20949.45258,36003.0314,37803.18297
2026-02-15,Database,22023.977600000002,35096.42933714286,36851.250804
2026-02-16,Database,31323.89762,33591.067814285714,35270.621205
2026-02-17,Database,30734.22374,32373.736611428576,33992.42344200001
2026-02-18,Database,25741.28352,28392.70794,29812.343337000002
2026-02-19,Database,28728.01818,27143.464374285715,28500.637593000003
2026-02-20,Database,19890.51652,25627.338537142856,26908.705464
2026-02-21,Database,24747.76686,26169.954862857143,27478.452606000003
2026-02-22,Database,27940.45316,27015.165657142858,28365.92394
2026-02-23,Database,34877.23998,27522.785994285718,28898.925294000004
2026-02-24,Database,27700.29734,27089.367937142855,28443.836334
2026-02-25,Database,31414.36962,27899.808808571426,29294.799249
2026-02-26,Database,30183.94662,28107.798585714285,29513.188515
2026-02-27,Database,44362.49502,31603.795514285714,33183.985290000004
2026-02-28,Database,25529.93932,31715.53443714286,33301.311159000004
2026-03-01,Database,39809.887460000005,33411.16790857143,35081.726304
2026-03-02,Database,25538.30516,32077.034362857143,33680.886081000004
2026-03-03,Database,21068.79124,31129.67634857143,32686.160166
2026-03-04,Database,21843.92874,29762.47050857143,31250.594034
2026-03-05,Database,35296.24208,30492.798431428575,32017.438353000005
2026-03-06,Database,32539.83818,28803.847454285715,30244.039827
2026-03-07,Database,29229.2867,29332.325651428575,30798.941934000006
2026-03-08,Database,29987.42698,27929.11701142857,29325.572862
2026-03-09,Database,24991.87094,27851.054979999997,29243.607729
2026-03-10,Database,32325.2819,29459.125074285716,30932.081328000004
2026-03-11,Database,29177.95004,30506.842402857143,32032.184523
2026-03-12,Database,29916.46992,29738.303522857143,31225.218699
2026-03-13,Database,20935.64154,28080.561145714288,29484.589203000003
2026-03-14,Database,45884.37498,30459.85947142857,31982.852444999997
2026-03-15,Database,31299.9018,30647.355874285713,32179.723668
2026-03-16,Database,35890.3168,32204.27671142857,33814.490547
2026-03-17,Database,30516.95644,31945.944502857143,33543.241728
2026-03-18,Database,34333.18994,32682.407345714288,34316.527713
2026-03-19,Database,21372.37252,31461.82200285714,33034.913103
2026-03-20,Database,12025.868460000002,30188.997277142855,31698.447141
2026-03-21,Database,27114.46532,27507.581611428574,28882.960692000004
2026-03-22,Database,37003.7208,28322.412897142854,29738.533541999997
2026-03-23,Database,24283.472800000003,26664.292325714287,27997.506942000004
2026-03-24,Database,29907.58022,26577.23858,27906.100509000004
2026-03-25,Database,18015.26298,24246.10615714286,25458.411465000005
2026-03-26,Database,32183.20002,25790.510085714286,27080.035590000003
2026-03-27,Database,36777.45298,29326.450731428573,30792.773268000004
2026-03-28,Database,34976.26412,30449.564845714285,31972.043088000002
2026-03-29,Database,35595.522000000004,30248.393588571427,31760.813268
2026-03-30,Database,43713.390960000004,33024.096182857145,34675.300992000004
2026-03-31,Database,39874.52728,34447.94576285715,36170.343051
2025-12-31,Storage,37.53,37.53,39.4065
2026-01-01,Storage,3768.3985000000002,1902.9642500000002,1998.1124625000002
2026-01-02,Storage,2566.37946,2124.1026533333334,2230.3077860000003
2026-01-03,Storage,3001.97374,2343.570425,2460.74894625
2026-01-04,Storage,1401.5081,2155.15796,2262.9158580000003
2026-01-05,Storage,4813.93948,2598.2882133333333,2728.202624
2026-01-06,Storage,3364.82602,2707.7936142857143,2843.1832950000003
2026-01-07,Storage,5246.36188,3451.9124542857144,3624.5080770000004
2026-01-08,Storage,2052.67218,3206.8086942857144,3367.1491290000004
2026-01-09,Storage,11053.15334,4419.204962857142,4640.1652109999995
2026-01-10,Storage,2698.9347199999997,4375.9136742857145,4594.709358
2026-01-11,Storage,2821.00734,4578.69928,4807.634244
2026-01-12,Storage,2426.93996,4237.699348571428,4449.584316
2026-01-13,Storage,7215.86122,4787.847234285714,5027.239595999999
2026-01-14,Storage,10535.2375,5543.400894285714,5820.570938999999
2026-01-15,Storage,2957.17976,5672.616262857142,5956.247076
2026-01-16,Storage,3381.78884,4576.7070485714285,4805.542401
2026-01-17,Storage,2157.47964,4499.356322857143,4724.324139
2026-01-18,Storage,5495.2239,4881.38726,5125.456623000001
2026-01-19,Storage,3508.76856,5035.934202857143,5287.730913
2026-01-20,Storage,2013.09572,4292.681988571429,4507.316088000001
2026-01-21,Storage,1486.50496,3000.005911428572,3150.0062070000004
2026-01-22,Storage,1959.06258,2857.417742857143,3000.28863
2026-01-23,Storage,9937.75834,3793.9848142857145,3983.684055
2026-01-24,Storage,10166.19928,4938.08762,5184.9920010000005
2026-01-25,Storage,4490.02838,4794.48826,5034.212673
2026-01-26,Storage,2106.5213,4594.167222857142,4823.875583999999
2026-01-27,Storage,3267.50162,4773.368065714285,5012.036469
2026-01-28,Storage,3105.44248,5004.644854285715,5254.877097000001
2026-01-29,Storage,2642.37414,5102.260791428572,5357.373831000001
2026-01-30,Storage,9334.00314,5016.010048571429,5266.8105510000005
2026-01-31,Storage,3641.34008,4083.8873057142855,4288.081671
2026-02-01,Storage,3492.1499000000003,3941.3332371428573,4138.399899
2026-02-02,Storage,2563.98362,4006.6849971428574,4207.019247
2026-02-03,Storage,4225.06328,4143.47952,4350.653496
2026-02-04,Storage,8002.0636,4842.996822857143,5085.146664000001
2026-02-05,Storage,6944.19348,5457.542442857143,5730.419565000001
2026-02-06,Storage,3103.12176,4567.416531428572,4795.7873580000005
2026-02-07,Storage,2982.5664,4473.306005714286,4696.971306
2026-02-08,Storage,3636.04734,4493.862782857143,4718.5559220000005
2026-02-09,Storage,6344.9853,5034.00588,5285.706174
2026-02-10,Storage,5978.62172,5284.514228571429,5548.739940000001
2026-02-11,Storage,3371.16132,4622.95676,4854.104598
2026-02-12,Storage,3182.59276,4085.5852285714286,4289.86449
2026-02-13,Storage,3919.2875400000003,4202.18034,4412.289357
2026-02-14,Storage,2687.95428,4160.0928942857145,4368.097539
2026-02-15,Storage,6353.689800000001,4548.327531428572,4775.743908
2026-02-16,Storage,3348.4662,4120.253374285714,4326.266043
2026-02-17,Storage,2606.61786,3638.5385371428574,3820.4654640000003
2026-02-18,Storage,5866.360720000001,3994.9955942857146,4194.745374
2026-02-19,Storage,4609.31814,4198.813505714285,4408.754181
2026-02-20,Storage,3143.01464,4087.9173771428573,4292.313246000001
2026-02-21,Storage,2676.60352,4086.2958399999998,4290.610632
2026-02-22,Storage,4409.62616,3808.572462857143,3999.001086
2026-02-23,Storage,7362.45614,4381.999597142857,4601.099577
2026-02-24,Storage,7379.42156,5063.828697142856,5317.020131999999
2026-02-25,Storage,2025.32366,4515.109117142857,4740.864573
2026-02-26,Storage,2171.4649799999997,4166.84438,4375.186599
2026-02-27,Storage,8569.82518,4942.103028571429,5189.2081800000005
2026-02-28,Storage,7888.142739999999,5686.608631428571,5970.939063
2026-03-01,Storage,4889.77746,5755.201674285714,6042.961758
2026-03-02,Storage,8752.35534,5953.758702857142,6251.446637999999
2026-03-03,Storage,3144.1952,5348.726365714286,5616.162684
2026-03-04,Storage,2352.92292,5395.52626,5665.302573
2026-03-05,Storage,2250.47022,5406.812722857142,5677.153358999999
2026-03-06,Storage,2744.21344,4574.582474285714,4803.311598
2026-03-07,Storage,4158.26144,4041.7422885714286,4243.829403000001
2026-03-08,Storage,2197.20184,3657.0886285714287,3839.94306
2026-03-09,Storage,12873.22722,4245.784611428571,4458.073842
2026-03-10,Storage,5554.4633,4590.108625714286,4819.614057000001
2026-03-11,Storage,1591.4022,4481.319951428572,4705.385949
2026-03-12,Storage,4738.796960000001,4836.7952000000005,5078.63496
2026-03-13,Storage,3412.86978,4932.317534285714,5178.933411
2026-03-14,Storage,3105.5445,4781.9294,5021.02587
2026-03-15,Storage,12363.926640000001,6234.318657142858,6546.034590000001
2026-03-16,Storage,2845.57094,4801.796331428572,5041.8861480000005
2026-03-17,Storage,1740.8769200000002,4256.998277142858,4469.848191000001
2026-03-18,Storage,3153.65336,4480.177014285715,4704.185865000001
2026-03-19,Storage,9508.05084,5161.498997142858,5419.573947000001
2026-03-20,Storage,4102.13184,5259.965005714286,5522.963256000001
2026-03-21,Storage,2416.74506,5161.565085714287,5419.643340000002
2026-03-22,Storage,2332.60334,3728.5189,3914.944845
2026-03-23,Storage,-1082.4920000000002,3167.367051428571,3325.7354039999996
2026-03-24,Storage,4043.87368,3496.3665885714286,3671.184918
2026-03-25,Storage,1867.6942999999999,3312.6581514285713,3478.291059
2026-03-26,Storage,4403.12286,2583.382725714286,2712.5518620000007
2026-03-27,Storage,8928.56568,3272.873274285714,3436.516938
2026-03-28,Storage,2632.29214,3303.6657142857143,3468.849
2026-03-29,Storage,1735.20578,3218.323205714286,3379.2393660000002
2026-03-30,Storage,3108.78756,3817.0774285714288,4007.9313
2026-03-31,Storage,7445.21158,4302.982842857143,4518.131985
