Date,SKU_Clean,Anomaly_Count,Max_Z_Score,Avg_Z_Score,Total_Cost_Impact
2026-01-08,GCS-Standard,1,57.69,57.69,435.42
2026-02-25,GCS-Nearline,2,50.06,50.06,434.2
2026-01-29,GCS-Standard,1,42.7,42.7,430.61
2026-03-27,SQLDb-S2,1,23.3,23.3,395.71
2026-03-31,Blob-Cool,2,112.78,76.73,390.2
2026-03-09,EC2-t3.large,1,109.75,109.75,387.34
2026-02-07,EC2-t3.xlarge,1,19.84,19.84,353.75
2026-01-17,CloudSQL-db.standard-2,1,6.52,6.52,353.59
2026-02-24,S3-IA,1,44.99,44.99,351.37
2026-02-09,GCS-Standard,1,52.56,52.56,349.03
2026-03-11,RDS-db.m5.large,1,12.8,12.8,331.85
2026-03-18,GCS-Standard,3,92.83,48.13,330.82
2026-02-24,S3-Standard,1,74.88,74.88,321.44
2026-03-14,Blob-Hot,2,25.64,25.64,317.56
2026-02-17,EC2-t3.xlarge,1,77.02,77.02,314.03
2026-03-28,CloudSQL-db.standard-2,1,37.52,37.52,310.97
2026-02-16,Blob-Cool,1,36.41,36.41,302.43
2026-03-20,S3-IA,1,57.93,57.93,296.47
2026-01-25,SQLDb-S2,1,43.48,43.48,294.0
2026-02-20,S3-Standard,1,37.13,37.13,290.84
2026-01-13,RDS-db.m5.large,1,13.2,13.2,280.25
2026-02-19,S3-IA,1,38.32,38.32,276.91
2026-03-27,Blob-Hot,2,86.67,64.81,276.65
2026-03-20,Blob-Cool,2,42.46,34.66,273.78
2026-02-21,RDS-db.m5.large,1,23.6,23.6,269.95
2026-01-23,Blob-Hot,1,50.1,50.1,262.39
2026-02-04,GCS-Nearline,1,70.18,70.18,258.81
2026-02-18,Blob-Hot,1,25.14,25.14,258.44
2026-02-06,GCE-n1-standard-8,1,18.2,18.2,254.88
2026-02-06,GCS-Standard,1,35.94,35.94,252.36
2026-01-21,VM-Standard_D4s,1,8.11,8.11,246.07
2026-02-18,Blob-Cool,2,109.08,72.87,242.67
2026-02-08,RDS-db.m5.large,1,7.22,7.22,239.53
2026-03-15,GCS-Standard,1,46.73,46.73,231.81
2026-01-19,S3-Standard,1,40.26,40.26,231.7
2026-01-29,S3-IA,1,45.39,45.39,229.02
2026-02-26,S3-IA,2,44.82,37.32,222.53
2026-01-18,Blob-Hot,2,30.36,20.36,221.62
2026-01-27,S3-IA,3,63.64,36.5,213.14
2026-02-07,S3-IA,1,56.26,56.26,213.03
2026-03-13,EC2-t3.large,1,3.35,3.35,210.47
2026-03-22,VM-Standard_D4s,1,7.28,7.28,204.02
2026-01-28,Blob-Cool,1,101.76,101.76,202.71
2026-01-11,GCS-Nearline,1,49.68,49.68,202.69
2026-03-30,EC2-t3.medium,1,9.58,9.58,198.5
2026-01-27,GCS-Nearline,1,19.0,19.0,197.33
2026-02-26,Blob-Hot,1,81.41,81.41,196.48
2026-02-02,S3-IA,1,51.86,51.86,189.47
2026-02-22,S3-IA,1,57.25,57.25,184.95
2026-02-08,GCS-Nearline,1,42.93,42.93,182.6
2026-02-16,S3-Standard,2,53.79,32.71,175.47
2026-01-01,Blob-Cool,1,19.06,19.06,171.37
2026-01-08,GCS-Nearline,2,25.06,19.4,168.49
2026-03-19,GCS-Nearline,1,23.95,23.95,167.76
2026-03-08,Blob-Hot,2,40.35,21.92,166.54
2026-03-23,EC2-t3.xlarge,1,5.54,5.54,165.58
2026-01-26,Blob-Hot,1,35.56,35.56,157.85
2026-03-04,Blob-Hot,1,66.9,66.9,152.64
2026-01-19,GCS-Standard,1,57.29,57.29,152.14
2026-01-02,GCS-Standard,1,19.45,19.45,150.43
2026-02-10,S3-Standard,1,34.84,34.84,144.2
2026-02-19,Blob-Hot,1,22.24,22.24,141.88
2026-03-30,GCE-n1-standard-4,1,50.75,50.75,134.85
2026-03-24,GCS-Standard,2,73.76,39.72,133.4
2026-01-24,S3-IA,1,39.02,39.02,132.84
2026-01-14,S3-IA,1,113.32,113.32,131.36
2026-02-01,S3-IA,1,18.11,18.11,129.55
2026-01-23,S3-Standard,1,11.32,11.32,124.49
2026-03-19,S3-IA,1,31.48,31.48,122.3
2026-01-02,VM-Standard_D2s,1,76.14,76.14,113.03
2026-03-23,RDS-db.m5.large,2,69.21,36.79,105.98
2026-01-01,EC2-t3.xlarge,1,43.39,43.39,103.63
2026-01-20,RDS-db.m5.large,4,76.22,49.23,102.92
2026-03-05,RDS-db.m5.large,3,48.28,45.38,99.86
2026-02-23,CloudSQL-db.standard-2,2,59.35,59.35,96.73
2026-01-20,S3-Standard,1,9.0,9.0,93.79
2026-02-28,GCS-Nearline,3,22.91,15.41,91.19
2026-03-30,EC2-t3.xlarge,1,19.42,19.42,89.77
2026-03-17,Blob-Cool,1,24.06,24.06,83.81
2026-03-21,VM-Standard_D2s,1,59.54,59.54,80.01
2026-02-13,Blob-Hot,1,12.22,12.22,78.83
2026-01-18,SQLDb-S2,1,7.01,7.01,75.92
2026-03-19,Blob-Cool,1,17.13,17.13,75.25
2026-02-12,S3-IA,1,58.7,58.7,69.27
2026-03-15,GCE-n1-standard-2,1,45.98,45.98,66.95
2026-02-14,VM-Standard_D8s,1,21.35,21.35,65.33
2026-01-08,Blob-Cool,1,25.33,25.33,63.64
2026-03-02,S3-Standard,1,30.0,30.0,58.95
2026-02-10,S3-IA,1,8.52,8.52,58.68
2026-03-11,S3-IA,3,12.58,10.6,57.76
2026-03-07,Blob-Cool,1,41.17,41.17,57.68
2026-03-15,Blob-Cool,1,19.18,19.18,57.67
2026-01-19,RDS-db.m5.large,2,74.95,52.17,53.75
2026-02-24,Blob-Cool,1,37.85,37.85,53.48
2026-02-15,VM-Standard_D2s,1,69.04,69.04,51.28
2026-02-27,CloudSQL-db.standard-2,1,9.37,9.37,50.67
2026-03-08,SQLDb-S2,1,84.57,84.57,48.59
2026-03-18,CloudSQL-db.standard-2,1,30.3,30.3,46.67
2026-01-09,GCE-n1-standard-8,1,43.33,43.33,45.12
2026-01-24,CloudSQL-db.standard-2,2,108.6,108.6,44.7
2026-01-08,GCE-n1-standard-2,1,36.13,36.13,41.07
2026-02-12,EC2-t3.xlarge,1,84.79,84.79,40.19
2026-02-17,VM-Standard_D4s,2,18.36,18.36,39.56
2026-03-19,CloudSQL-db.standard-2,1,53.64,53.64,35.83
2026-03-21,CloudSQL-db.standard-2,1,63.18,63.18,35.61
2026-03-15,SQLDb-S2,1,50.83,50.83,35.22
2026-02-14,S3-IA,1,3.93,3.93,33.71
2026-02-14,EC2-t3.medium,1,51.45,51.45,32.62
2026-03-17,GCE-n1-standard-8,1,94.51,94.51,32.07
2026-02-13,GCE-n1-standard-4,1,27.63,27.63,31.05
2026-01-12,SQLDb-S2,1,51.97,51.97,30.39
2026-03-01,CloudSQL-db.standard-2,2,16.05,16.05,30.29
2026-01-05,RDS-db.m5.large,2,46.2,27.44,29.56
2026-01-01,S3-Standard,1,58.92,58.92,29.41
2026-02-10,EC2-t3.xlarge,1,68.84,68.84,29.18
2026-01-07,Blob-Hot,1,11.58,11.58,28.11
2026-03-31,GCE-n1-standard-2,1,71.13,71.13,26.71
2026-03-21,RDS-db.m5.large,1,17.02,17.02,26.56
2026-03-14,EC2-t3.medium,1,66.8,66.8,25.53
2026-03-16,SQLDb-S2,1,76.52,76.52,25.47
2026-01-10,CloudSQL-db.standard-2,1,28.62,28.62,25.2
2026-02-03,VM-Standard_D4s,1,50.59,50.59,24.98
2026-02-12,RDS-db.m5.large,1,23.94,23.94,24.86
2026-03-25,RDS-db.m5.large,1,30.48,30.48,23.21
2026-03-31,EC2-t3.xlarge,1,6.41,6.41,22.4
2026-01-18,EC2-t3.xlarge,2,69.9,57.81,21.99
2026-02-21,GCE-n1-standard-4,1,91.76,91.76,20.97
2026-03-18,VM-Standard_D8s,1,74.77,74.77,20.9
2026-03-02,Blob-Cool,1,60.32,60.32,20.08
2026-02-10,GCE-n1-standard-4,1,47.53,47.53,19.65
2026-03-10,RDS-db.m5.large,1,4.46,4.46,19.6
2026-01-24,GCS-Standard,1,7.48,7.48,19.57
2026-02-23,GCE-n1-standard-2,1,17.8,17.8,18.73
2026-02-08,GCE-n1-standard-4,1,34.61,34.61,17.58
2026-01-12,VM-Standard_D8s,1,31.62,31.62,16.88
2026-02-13,RDS-db.m5.large,2,56.18,56.18,16.45
2026-03-22,EC2-t3.large,1,22.74,22.74,16.45
2026-01-01,RDS-db.m5.large,1,30.1,30.1,15.62
2026-03-22,GCE-n1-standard-4,1,67.46,67.46,15.6
2026-03-23,Blob-Cool,1,3.96,3.96,15.17
2026-01-03,EC2-t3.medium,1,12.6,12.6,13.93
2026-02-07,SQLDb-S2,1,20.99,20.99,13.83
2026-02-18,GCE-n1-standard-2,1,32.68,32.68,13.76
2026-03-05,VM-Standard_D4s,1,3.12,3.12,13.18
2026-03-01,GCE-n1-standard-4,1,39.95,39.95,12.8
2026-03-15,CloudSQL-db.standard-2,1,23.17,23.17,12.62
2026-03-20,GCE-n1-standard-4,1,55.51,55.51,12.41
2026-01-12,Blob-Hot,1,13.7,13.7,10.3
2026-01-28,VM-Standard_D4s,1,13.63,13.63,9.38
2026-03-08,EC2-t3.xlarge,1,26.69,26.69,9.22
2026-02-25,S3-IA,1,80.9,80.9,8.56
2026-01-07,EC2-t3.large,1,29.63,29.63,8.5
2026-03-28,RDS-db.m5.large,1,9.48,9.48,6.98
2026-02-04,GCE-n1-standard-4,1,33.14,33.14,6.95
2026-03-24,GCE-n1-standard-2,1,27.59,27.59,6.86
2026-01-31,SQLDb-S2,1,63.79,63.79,6.86
2026-03-23,SQLDb-S2,1,29.54,29.54,6.7
2026-01-03,GCE-n1-standard-8,1,15.04,15.04,6.32
2026-03-13,S3-IA,1,7.81,7.81,6.24
2026-02-22,EC2-t3.medium,1,10.72,10.72,5.92
2026-02-20,Blob-Hot,1,3.71,3.71,5.78
2026-01-13,CloudSQL-db.standard-2,1,29.73,29.73,5.51
2026-01-09,EC2-t3.large,1,20.28,20.28,5.48
2026-03-30,CloudSQL-db.standard-2,1,29.18,29.18,5.35
2026-02-10,GCS-Standard,1,40.89,40.89,5.26
2026-03-23,CloudSQL-db.standard-2,1,31.42,31.42,5.21
2026-03-27,S3-Standard,1,119.05,119.05,5.1
2026-01-08,Blob-Hot,1,28.65,28.65,5.01
2026-02-07,GCE-n1-standard-2,1,21.53,21.53,4.88
2026-01-24,S3-Standard,1,7.19,7.19,4.77
2026-03-24,RDS-db.m5.large,2,64.15,46.47,4.56
2026-03-22,S3-IA,1,90.44,90.44,4.38
2026-02-17,RDS-db.m5.large,1,63.0,63.0,4.34
2026-03-30,GCS-Standard,1,56.42,56.42,4.31
2026-03-15,S3-Standard,1,113.88,113.88,4.11
2026-03-03,SQLDb-S2,1,61.52,61.52,4.09
2026-03-08,GCS-Standard,2,45.43,45.43,4.08
2026-03-27,RDS-db.m5.large,1,31.7,31.7,4.08
2026-01-01,GCS-Nearline,2,74.4,39.43,3.99
2026-02-13,GCS-Standard,1,51.16,51.16,3.71
2026-01-19,Blob-Cool,1,61.27,61.27,3.51
2026-03-12,GCS-Nearline,1,44.55,44.55,3.15
2026-02-03,CloudSQL-db.standard-2,1,3.9,3.9,3.14
2026-03-24,CloudSQL-db.standard-2,2,32.63,19.42,3.11
2026-03-25,Blob-Cool,1,17.12,17.12,3.11
2026-02-27,S3-IA,1,86.26,86.26,3.05
2026-03-03,CloudSQL-db.standard-2,1,15.68,15.68,3.03
2026-03-16,S3-Standard,1,47.5,47.5,2.8
2026-02-05,S3-Standard,1,14.42,14.42,2.72
2026-02-06,S3-Standard,1,25.98,25.98,2.31
2026-01-13,Blob-Hot,2,112.98,112.98,2.28
2026-03-07,S3-Standard,1,73.9,73.9,2.26
2026-03-29,SQLDb-S2,1,12.91,12.91,2.21
2026-03-05,VM-Standard_D8s,1,23.62,23.62,2.16
2026-03-17,S3-IA,1,11.32,11.32,2.13
2026-03-04,S3-IA,2,32.61,32.61,2.11
2026-02-01,GCS-Standard,1,14.92,14.92,2.04
2026-03-01,S3-IA,1,34.66,34.66,1.99
2026-02-09,GCS-Nearline,2,38.43,24.15,1.9
2026-03-10,GCS-Standard,1,79.32,79.32,1.84
2026-03-01,RDS-db.m5.large,1,36.76,36.76,1.77
2026-01-28,GCS-Nearline,1,56.11,56.11,1.66
2026-02-05,Blob-Hot,1,28.22,28.22,1.59
2026-01-20,GCS-Standard,1,27.54,27.54,1.56
2026-01-11,RDS-db.m5.large,1,48.94,48.94,1.37
2026-03-28,S3-Standard,2,71.9,51.65,1.23
2026-01-12,GCS-Standard,1,25.62,25.62,1.17
2026-02-12,GCE-n1-standard-8,1,5.98,5.98,1.14
2026-02-02,S3-Standard,1,21.73,21.73,1.14
2026-01-23,Blob-Cool,1,38.31,38.31,1.09
2026-02-03,Blob-Hot,1,7.08,7.08,1.05
2026-03-07,GCS-Standard,1,18.92,18.92,0.95
2026-02-17,Blob-Cool,1,11.74,11.74,0.9
2026-02-26,GCE-n1-standard-2,1,13.47,13.47,0.9
2026-03-05,S3-Standard,1,17.97,17.97,0.9
2026-03-09,GCE-n1-standard-4,1,4.51,4.51,0.87
2026-02-17,S3-IA,1,35.01,35.01,0.83
2026-03-01,VM-Standard_D2s,1,13.12,13.12,0.7
2026-03-03,GCS-Standard,1,28.97,28.97,0.68
2026-03-25,S3-Standard,1,8.07,8.07,0.65
2026-01-03,S3-IA,1,26.54,26.54,0.63
2026-02-14,Blob-Hot,1,6.08,6.08,0.58
2026-02-11,GCS-Standard,1,78.36,78.36,0.56
2026-02-28,RDS-db.m5.large,1,29.06,29.06,0.42
2026-03-29,GCS-Nearline,1,18.25,18.25,0.42
2026-03-24,S3-Standard,1,29.77,29.77,0.39
2026-02-24,Blob-Hot,1,51.23,51.23,0.39
2026-01-22,GCS-Standard,2,3.13,3.13,0.34
2026-02-02,GCS-Nearline,1,15.0,15.0,0.31
2026-02-08,S3-IA,1,3.55,3.55,0.28
2026-03-07,S3-IA,1,23.2,23.2,0.26
2026-03-18,GCS-Nearline,1,22.94,22.94,0.25
2026-03-22,S3-Standard,1,79.81,79.81,0.16
2026-03-16,Blob-Hot,1,59.25,59.25,0.09
2026-03-31,S3-IA,1,21.5,21.5,0.07
2026-02-23,Blob-Cool,1,8.16,8.16,0.01
2026-01-16,GCS-Nearline,1,33.31,33.31,0.0
2026-03-22,SQLDb-S2,1,37.48,37.48,-43.46
2026-01-10,EC2-t3.xlarge,1,77.44,77.44,-337.61
2026-02-02,EC2-t3.large,1,88.76,88.76,-2567.87
2026-03-23,GCS-Nearline,1,6.81,6.81,-3718.86
