Date,Service_Clean,SKU_Clean,Region_Clean,Total_Cost_USD,Total_Usage,Log_Count
2026-01-01,Storage,GCS-Nearline,us-central1,16.65,4307.7,1
2026-01-01,Storage,GCS-Nearline,us-west1,4.96212,136768.867,2
2026-01-01,Storage,GCS-Standard,us-central1,3.5348400000000004,9536.26,3
2026-01-01,Storage,S3-IA,UNKNOWN,0.4444999999999999,159.48,1
2026-01-01,Storage,S3-IA,ap-southeast-1,640.5584,5001.0085,2
2026-01-01,Storage,S3-IA,eu-west-1,264.57,2663.74,1
2026-01-01,Storage,S3-IA,us-east-1,3.5386800000000003,7251.3,3
2026-01-01,Storage,S3-IA,us-west-2,4.80672,5859.900000000001,2
2026-01-01,Storage,S3-Standard,ap-south-1,396.26214,123636.9853,4
2026-01-01,Storage,S3-Standard,ap-southeast-1,147.56688000000003,2683.6796,2
2026-01-01,Storage,S3-Standard,eu-west-1,180.23804,8447.029999999999,3
2026-01-01,Storage,S3-Standard,us-west-2,0.34752,3297.67,1
2026-01-01,Storage,UNKNOWN,asia-southeast1,1.66344,4735.09,1
2026-01-01,Storage,UNKNOWN,europe-west1,42.4242,773.06,1
2026-01-02,Compute,EC2-t3.large,ap-south-1,859.7392000000001,38590.04,1
2026-01-02,Compute,EC2-t3.large,ap-southeast-1,241.4651,2966.13,1
2026-01-02,Compute,EC2-t3.large,eu-west-1,102.65132,38662958.72,2
2026-01-02,Compute,EC2-t3.large,us-west-2,5.04492,13100.73,1
2026-01-02,Compute,EC2-t3.medium,ap-south-1,2318.2580000000003,155445516.0,1
2026-01-02,Compute,EC2-t3.medium,ap-southeast-1,7.93368,87881544.0,1
2026-01-02,Compute,EC2-t3.medium,eu-west-1,1060.84,66236714.4,1
2026-01-02,Compute,EC2-t3.medium,us-west-2,9.97932,1048804.2,1
2026-01-02,Compute,EC2-t3.xlarge,ap-south-1,1133.66,2886501.0,1
2026-01-02,Compute,EC2-t3.xlarge,eu-west-1,4.75788,36230796.0,1
2026-01-02,Compute,EC2-t3.xlarge,us-east-1,7344.09,8177952.0,3
2026-01-02,Compute,GCE-n1-standard-2,asia-south1,13.531199999999998,17141.05,1
2026-01-02,Compute,GCE-n1-standard-2,asia-southeast1,5613.591399999999,19916361.0,2
2026-01-02,Compute,GCE-n1-standard-2,us-central1,635.43,39081566.4,1
2026-01-02,Compute,GCE-n1-standard-2,us-west1,1156.7988,47327.8,1
2026-01-02,Compute,GCE-n1-standard-4,asia-southeast1,119.84,2815.89,1
2026-01-02,Compute,GCE-n1-standard-4,europe-west1,210.546,206773.8,1
2026-01-02,Compute,GCE-n1-standard-4,us-central1,0.0,130364280.0,1
2026-01-02,Compute,GCE-n1-standard-8,europe-west1,67.95107999999999,38446.65,2
2026-01-02,Compute,GCE-n1-standard-8,us-central1,2.6416,12961.2,1
2026-01-02,Compute,VM-Standard_D2s,canadacentral,5721.0975,127740568.01,2
2026-01-02,Compute,VM-Standard_D2s,eastus,-878.5465999999999,161402851.7,3
2026-01-02,Compute,VM-Standard_D2s,southeastasia,113.03,89227675.8,1
2026-01-02,Compute,VM-Standard_D4s,centralindia,834.54,13125.36,1
2026-01-02,Compute,VM-Standard_D4s,southeastasia,1930.1868,21640.82,1
2026-01-02,Compute,VM-Standard_D4s,westeurope,1894.1364,21974.33,1
2026-01-02,Compute,VM-Standard_D8s,canadacentral,947.0334,127985204.74,2
2026-01-02,Compute,VM-Standard_D8s,centralindia,51.75864000000001,44825.17,1
2026-01-02,Compute,VM-Standard_D8s,eastus,12.92688,99186516.0,1
2026-01-02,Compute,VM-Standard_D8s,southeastasia,451.29,63267696.0,1
2026-01-02,Database,CloudSQL-db.standard-2,asia-south1,5290.0082,82550478.6,4
2026-01-02,Database,CloudSQL-db.standard-2,asia-southeast1,7.160400000000001,28209492.0,1
2026-01-02,Database,CloudSQL-db.standard-2,europe-west1,871.0222,64946299.2,2
2026-01-02,Database,CloudSQL-db.standard-2,us-central1,2522.275,56133.85,2
2026-01-02,Database,CloudSQL-db.standard-2,us-west1,33.726960000000005,4012271.4,2
2026-01-02,Database,RDS-db.m5.large,UNKNOWN,38.2404,38502849.84,2
2026-01-02,Database,RDS-db.m5.large,ap-south-1,8.80104,71213544.0,1
2026-01-02,Database,RDS-db.m5.large,ap-southeast-1,2486.33,28626.23,1
2026-01-02,Database,RDS-db.m5.large,eu-west-1,2470.5177999999996,174078432.0,3
2026-01-02,Database,RDS-db.m5.large,us-east-1,713.54294,87053375.94999999,5
2026-01-02,Database,RDS-db.m5.large,us-west-2,1672.1186,120286078.01,2
2026-01-02,Database,SQLDb-S2,centralindia,1552.2624,131117760.0,1
2026-01-02,Database,SQLDb-S2,eastus,1918.86648,1131743094.1,5
2026-01-02,Database,SQLDb-S2,southeastasia,750.3732,11370.8,1
2026-01-02,Database,SQLDb-S2,westeurope,3044.8228999999997,130754672.53999999,3
2026-01-02,Storage,Blob-Cool,canadacentral,105.53148000000002,790.3029,3
2026-01-02,Storage,Blob-Cool,centralindia,221.9184,3.0055,1
2026-01-02,Storage,Blob-Cool,eastus,1.10556,3256.01,1
2026-01-02,Storage,Blob-Cool,westeurope,340.65112000000005,12277.82,3
2026-01-02,Storage,Blob-Hot,canadacentral,351.16519999999997,1733.7673,2
2026-01-02,Storage,Blob-Hot,centralindia,128.3761,4.9993,2
2026-01-02,Storage,Blob-Hot,eastus,0.75204,2632.83,1
2026-01-02,Storage,Blob-Hot,westeurope,360.07,4824.64,1
2026-01-02,Storage,GCS-Nearline,UNKNOWN,70.93440000000001,3.2892,1
2026-01-02,Storage,GCS-Nearline,asia-south1,62.038239999999995,250.30960000000002,2
2026-01-02,Storage,GCS-Nearline,us-west1,21.6828,2.5572,1
2026-01-02,Storage,GCS-Standard,asia-south1,3.49644,4921.38,1
2026-01-02,Storage,GCS-Standard,asia-southeast1,174.56116,9090.416000000001,4
2026-01-02,Storage,GCS-Standard,europe-west1,0.34031999999999996,280.3226,3
2026-01-02,Storage,GCS-Standard,us-central1,84.71520000000001,1037.05,1
2026-01-02,Storage,S3-IA,ap-south-1,2.94588,7393.46,2
2026-01-02,Storage,S3-IA,us-east-1,175.32,3060.37,1
2026-01-02,Storage,S3-IA,us-west-2,147.49272,3526.7136,3
2026-01-02,Storage,S3-Standard,UNKNOWN,190.93,3.9889,1
2026-01-02,Storage,S3-Standard,ap-south-1,2.28588,3208.97,2
2026-01-02,Storage,S3-Standard,ap-southeast-1,-198.57827999999998,4575.7659,3
2026-01-02,Storage,S3-Standard,eu-west-1,255.39144000000002,3816.1289,2
2026-01-02,Storage,S3-Standard,us-east-1,63.25336,1658.2947,3
2026-01-03,Compute,EC2-t3.large,ap-south-1,294.34,16628652.0,1
2026-01-03,Compute,EC2-t3.medium,UNKNOWN,321.9,33922.39,1
2026-01-03,Compute,EC2-t3.medium,ap-south-1,910.2910400000001,161532592.8,2
2026-01-03,Compute,EC2-t3.medium,ap-southeast-1,1491.2848,136892808.0,1
2026-01-03,Compute,EC2-t3.xlarge,ap-south-1,827.1,1050758.4,1
2026-01-03,Compute,GCE-n1-standard-2,europe-west1,367.06,14996.49,1
2026-01-03,Compute,GCE-n1-standard-2,us-central1,497.7504,32559.62,1
2026-01-03,Compute,GCE-n1-standard-2,us-west1,994.40872,126434160.0,4
2026-01-03,Compute,GCE-n1-standard-4,asia-southeast1,12.81492,2234412.0,1
2026-01-03,Compute,GCE-n1-standard-4,europe-west1,38.00172,166448.4,1
2026-01-03,Compute,GCE-n1-standard-4,us-central1,0.939,80574.6,1
2026-01-03,Compute,GCE-n1-standard-4,us-west1,2423.541,172160568.0,1
2026-01-03,Compute,GCE-n1-standard-8,asia-southeast1,6.64056,18086.81,1
2026-01-03,Compute,GCE-n1-standard-8,us-west1,6.3162,1196238456.0,1
2026-01-03,Compute,UNKNOWN,centralindia,2887.9673,40802.96,1
2026-01-03,Compute,UNKNOWN,us-east-1,285.36,22032.34,1
2026-01-03,Compute,VM-Standard_D2s,canadacentral,4655.9988,2623296.6,1
2026-01-03,Compute,VM-Standard_D2s,centralindia,8.11308,2097592.8,1
2026-01-03,Compute,VM-Standard_D2s,southeastasia,516.672,418456.8,1
2026-01-03,Compute,VM-Standard_D2s,westeurope,1505.6388,24704.19,1
2026-01-03,Compute,VM-Standard_D4s,UNKNOWN,436.4101,258797.4,1
2026-01-03,Compute,VM-Standard_D4s,westeurope,2182.3976000000002,860881004.49,3
2026-01-03,Compute,VM-Standard_D8s,canadacentral,409.63,15581412.0,1
2026-01-03,Compute,VM-Standard_D8s,eastus,615.01212,1028405.82,2
2026-01-03,Compute,VM-Standard_D8s,westeurope,1240.0800000000002,92752470.93,2
2026-01-03,Database,CloudSQL-db.standard-2,asia-south1,792.19024,1526846.7,3
2026-01-03,Database,CloudSQL-db.standard-2,asia-southeast1,1709.68184,3528700.2,5
2026-01-03,Database,CloudSQL-db.standard-2,europe-west1,39.6684,462333.6,1
2026-01-03,Database,CloudSQL-db.standard-2,us-central1,1912.32416,137046228.6,3
2026-01-03,Database,CloudSQL-db.standard-2,us-west1,6.04068,2735864.4,1
2026-01-03,Database,RDS-db.m5.large,ap-south-1,1946.1181200000005,312369404.07,8
2026-01-03,Database,RDS-db.m5.large,ap-southeast-1,3937.3109,185026075.09,6
2026-01-03,Database,RDS-db.m5.large,eu-west-1,1425.49892,3833577.6,2
2026-01-03,Database,RDS-db.m5.large,us-east-1,3058.95252,148567842.03,4
2026-01-03,Database,RDS-db.m5.large,us-west-2,4645.2847,163620710.48000002,5
2026-01-03,Database,SQLDb-S2,UNKNOWN,5141.52204,179025536.9,3
2026-01-03,Database,SQLDb-S2,centralindia,3574.95828,171071343.62,4
2026-01-03,Database,SQLDb-S2,eastus,1437.5576,2150031.0,2
2026-01-03,Database,SQLDb-S2,southeastasia,1958.74,26649.88,1
2026-01-03,Storage,Blob-Cool,southeastasia,184.8084,7803.64,2
2026-01-03,Storage,Blob-Cool,westeurope,313.90772,5038.0456,4
2026-01-03,Storage,Blob-Hot,canadacentral,235.6776,5587.12,2
2026-01-03,Storage,Blob-Hot,eastus,480.45959999999997,9201.05,3
2026-01-03,Storage,GCS-Nearline,asia-southeast1,0.4501199999999999,0.5208,1
2026-01-03,Storage,GCS-Nearline,europe-west1,180.75,4187.63,1
2026-01-03,Storage,GCS-Nearline,us-central1,5.02,0.8074,1
2026-01-03,Storage,GCS-Standard,asia-south1,11.34,4.7843,1
2026-01-03,Storage,GCS-Standard,us-west1,335.23814,4526.8362,2
2026-01-03,Storage,S3-IA,ap-south-1,267.38,2682.29,1
2026-01-03,Storage,S3-IA,ap-southeast-1,407.40008,1113.7559,4
2026-01-03,Storage,S3-IA,eu-west-1,38.8152,2.633,1
2026-01-03,Storage,S3-IA,us-east-1,321.95094,4050.2082,4
2026-01-03,Storage,S3-IA,us-west-2,2.31048,54.7654,2
2026-01-03,Storage,S3-Standard,ap-southeast-1,215.9755,2805.3681,2
2026-01-03,Storage,S3-Standard,us-west-2,0.48996,1485.8,1
2026-01-04,Compute,EC2-t3.large,UNKNOWN,-540.6263,1723126.8,1
2026-01-04,Compute,EC2-t3.large,us-east-1,5.14788,61191036.0,1
2026-01-04,Compute,EC2-t3.large,us-west-2,775.1808000000001,28778292.0,1
2026-01-04,Compute,EC2-t3.medium,ap-south-1,3478.3141,40050.54,1
2026-01-04,Compute,EC2-t3.xlarge,ap-southeast-1,604.73,20662.99,1
2026-01-04,Compute,EC2-t3.xlarge,us-east-1,2286.10826,38361987.76,5
2026-01-04,Compute,EC2-t3.xlarge,us-west-2,21.53136,38371.35,1
2026-01-04,Compute,GCE-n1-standard-2,asia-south1,3255.098,18190346.37,3
2026-01-04,Compute,GCE-n1-standard-2,asia-southeast1,1697.868,22829.77,1
2026-01-04,Compute,GCE-n1-standard-4,us-central1,4625.856,116532684.0,1
2026-01-04,Compute,GCE-n1-standard-8,asia-south1,2511.27,2374276.2,1
2026-01-04,Compute,GCE-n1-standard-8,asia-southeast1,1768.62404,52617726.6,3
2026-01-04,Compute,GCE-n1-standard-8,us-central1,80.29416,170667562.2,2
2026-01-04,Compute,UNKNOWN,us-west-2,25.462080000000004,31475.21,1
2026-01-04,Compute,VM-Standard_D2s,canadacentral,2628.91,105281820.0,1
2026-01-04,Compute,VM-Standard_D2s,eastus,235.3104,29633544.0,1
2026-01-04,Compute,VM-Standard_D4s,canadacentral,9.6558,45014544.0,1
2026-01-04,Compute,VM-Standard_D4s,eastus,1834.16,1431874.8,1
2026-01-04,Compute,VM-Standard_D8s,centralindia,875.3361600000001,95578331.23,2
2026-01-04,Compute,VM-Standard_D8s,eastus,1308.258,20637.31,1
2026-01-04,Database,CloudSQL-db.standard-2,asia-southeast1,1172.4804,126293624.45,2
2026-01-04,Database,CloudSQL-db.standard-2,europe-west1,6644.5224,98680827.91,3
2026-01-04,Database,CloudSQL-db.standard-2,us-central1,937.7060799999999,141072369.38,4
2026-01-04,Database,CloudSQL-db.standard-2,us-west1,105.11652000000001,93020278.03,3
2026-01-04,Database,RDS-db.m5.large,ap-south-1,1102.30686,101981613.6,2
2026-01-04,Database,RDS-db.m5.large,ap-southeast-1,2029.37604,165196089.51,5
2026-01-04,Database,RDS-db.m5.large,us-east-1,16.057560000000002,25546.41,1
2026-01-04,Database,RDS-db.m5.large,us-west-2,1501.43,24831.11,1
2026-01-04,Database,SQLDb-S2,canadacentral,2364.6263200000003,4800840262.2,3
2026-01-04,Database,SQLDb-S2,southeastasia,736.38568,164742555.56,3
2026-01-04,Database,SQLDb-S2,westeurope,6731.568,195253755.22,4
2026-01-04,Storage,Blob-Cool,canadacentral,24.87,676.02,1
2026-01-04,Storage,Blob-Cool,centralindia,227.44800000000006,6372.280000000001,2
2026-01-04,Storage,Blob-Cool,eastus,2.19012,3872.28,1
2026-01-04,Storage,Blob-Cool,westeurope,51.82920000000001,2.3218,1
2026-01-04,Storage,Blob-Hot,westeurope,324.7452,3448.52,1
2026-01-04,Storage,GCS-Nearline,asia-southeast1,26.87,886.46,1
2026-01-04,Storage,GCS-Nearline,europe-west1,1.38492,2984.35,1
2026-01-04,Storage,GCS-Standard,europe-west1,4.44216,4263.3105,3
2026-01-04,Storage,GCS-Standard,us-central1,-22.587280000000007,4536.2468,3
2026-01-04,Storage,GCS-Standard,us-west1,355.69916,7.1066,2
2026-01-04,Storage,S3-IA,UNKNOWN,147.80020000000002,5738.84,2
2026-01-04,Storage,S3-IA,ap-south-1,5.9944,0.0581,1
2026-01-04,Storage,S3-IA,ap-southeast-1,129.5019,3.3207,1
2026-01-04,Storage,S3-IA,eu-west-1,96.84,1076.99,1
2026-01-04,Storage,S3-IA,us-west-2,0.0,4429.63,1
2026-01-04,Storage,S3-Standard,eu-west-1,0.93012,2244.35,1
2026-01-04,Storage,S3-Standard,us-east-1,23.55,3652.97,1
2026-01-05,Compute,EC2-t3.large,eu-west-1,3208.56,2177541.0,1
2026-01-05,Compute,EC2-t3.large,us-west-2,842.3460000000001,21791.46,1
2026-01-05,Compute,EC2-t3.medium,ap-southeast-1,142.73,5282172.0,1
2026-01-05,Compute,EC2-t3.medium,eu-west-1,47.07144,149449032.0,1
2026-01-05,Compute,EC2-t3.medium,us-east-1,222.36,2584.74,2
2026-01-05,Compute,EC2-t3.xlarge,ap-south-1,137.01572000000002,758051.3999999999,2
2026-01-05,Compute,EC2-t3.xlarge,us-east-1,498.83,1268781.6,1
2026-01-05,Compute,EC2-t3.xlarge,us-west-2,143.0352,17857476.0,1
2026-01-05,Compute,GCE-n1-standard-2,asia-south1,1627.14,2865246.0,1
2026-01-05,Compute,GCE-n1-standard-2,us-central1,24.8712,49636.86,1
2026-01-05,Compute,GCE-n1-standard-2,us-west1,36.52872,42601.97,1
2026-01-05,Compute,GCE-n1-standard-4,asia-south1,3777.8309,2545736.4,1
2026-01-05,Compute,GCE-n1-standard-4,europe-west1,21.65268,2974026.0,1
2026-01-05,Compute,GCE-n1-standard-4,us-central1,2579.1603000000005,52111.1,2
2026-01-05,Compute,GCE-n1-standard-4,us-west1,503.18796,231588324.0,2
2026-01-05,Compute,GCE-n1-standard-8,asia-south1,154.051,21392748.0,1
2026-01-05,Compute,GCE-n1-standard-8,asia-southeast1,7.43448,96245928.0,1
2026-01-05,Compute,GCE-n1-standard-8,us-central1,3736.65,154318104.0,1
2026-01-05,Compute,GCE-n1-standard-8,us-west1,23.4576,422332.2,1
2026-01-05,Compute,VM-Standard_D2s,centralindia,16.29984,20553.41,1
2026-01-05,Compute,VM-Standard_D4s,centralindia,59.61972000000001,168354055.75,3
2026-01-05,Compute,VM-Standard_D4s,westeurope,323.5572,80449344.0,1
2026-01-05,Compute,VM-Standard_D8s,canadacentral,1903.9752,49874894.400000006,2
2026-01-05,Compute,VM-Standard_D8s,eastus,59.19,29339.350000000002,2
2026-01-05,Compute,VM-Standard_D8s,southeastasia,290.27,1750366.2,1
2026-01-05,Database,CloudSQL-db.standard-2,asia-south1,1297.3557999999998,13571281.2,3
2026-01-05,Database,CloudSQL-db.standard-2,asia-southeast1,2594.07352,318242700.0,2
2026-01-05,Database,CloudSQL-db.standard-2,europe-west1,4174.341840000001,5356968.6,2
2026-01-05,Database,CloudSQL-db.standard-2,us-central1,93.12712,145469487.79,4
2026-01-05,Database,CloudSQL-db.standard-2,us-west1,60.28392,101620255.2,4
2026-01-05,Database,RDS-db.m5.large,ap-south-1,398.40552,647310.6000000001,3
2026-01-05,Database,RDS-db.m5.large,ap-southeast-1,4192.4514,57503157.0,2
2026-01-05,Database,RDS-db.m5.large,eu-west-1,21.89544,54303659.4,1
2026-01-05,Database,RDS-db.m5.large,us-east-1,1410.8465200000003,55518151.2,2
2026-01-05,Database,RDS-db.m5.large,us-west-2,1863.50368,61430.93,2
2026-01-05,Database,SQLDb-S2,UNKNOWN,423.09,17680.49,1
2026-01-05,Database,SQLDb-S2,canadacentral,9811.25,313082542.2,3
2026-01-05,Database,SQLDb-S2,centralindia,2875.58556,147257748.0,2
2026-01-05,Database,SQLDb-S2,eastus,3043.2502000000004,121091112.0,1
2026-01-05,Database,SQLDb-S2,southeastasia,769.0572000000001,11249.11,1
2026-01-05,Database,SQLDb-S2,westeurope,484.70400000000006,34646688.0,1
2026-01-05,Database,UNKNOWN,ap-southeast-1,9.7698,91014624.0,1
2026-01-05,Database,UNKNOWN,southeastasia,48.5136,101359692.0,1
2026-01-05,Storage,Blob-Cool,centralindia,230.21280000000002,2813.4297,2
2026-01-05,Storage,Blob-Cool,eastus,449.6580000000001,4.6791,1
2026-01-05,Storage,Blob-Cool,southeastasia,1.57068,1.4946,1
2026-01-05,Storage,Blob-Hot,centralindia,116.1972,3173.45,1
2026-01-05,Storage,Blob-Hot,eastus,418.3738,5573.610000000001,2
2026-01-05,Storage,Blob-Hot,southeastasia,479.9968,4892.2372000000005,2
2026-01-05,Storage,Blob-Hot,westeurope,185.5656,6422.43,2
2026-01-05,Storage,GCS-Nearline,asia-south1,304.93104,6546.17,3
2026-01-05,Storage,GCS-Nearline,asia-southeast1,218.58108000000004,5566.2118,3
2026-01-05,Storage,GCS-Nearline,europe-west1,3.2523600000000004,3441.83,2
2026-01-05,Storage,GCS-Nearline,us-central1,378.5912,5255.889999999999,2
2026-01-05,Storage,GCS-Nearline,us-west1,313.6428,4.4311,1
2026-01-05,Storage,GCS-Standard,asia-south1,0.00348,197.18,1
2026-01-05,Storage,GCS-Standard,europe-west1,83.55,1.2432,1
2026-01-05,Storage,GCS-Standard,us-central1,1.85076,2.0954,1
2026-01-05,Storage,GCS-Standard,us-west1,0.71628,1758.1,1
2026-01-05,Storage,S3-IA,ap-south-1,6.69672,9.321,2
2026-01-05,Storage,S3-IA,ap-southeast-1,629.5104,6.7438,2
2026-01-05,Storage,S3-IA,eu-west-1,295.46,4873.37,1
2026-01-05,Storage,S3-IA,us-east-1,489.86820000000006,3532.5002999999997,4
2026-01-05,Storage,S3-IA,us-west-2,163.98291999999998,5672.860000000001,2
2026-01-05,Storage,S3-Standard,UNKNOWN,0.36372,0.8149,1
2026-01-05,Storage,S3-Standard,ap-south-1,2.27172,4.1249,1
2026-01-05,Storage,S3-Standard,ap-southeast-1,3.84756,9.444099999999999,3
2026-01-05,Storage,S3-Standard,us-east-1,1.48788,1439.84,1
2026-01-05,Storage,S3-Standard,us-west-2,32.25636,2250.6978,3
2026-01-05,Storage,UNKNOWN,ap-southeast-1,1.50012,2.705,1
2026-01-06,Compute,EC2-t3.large,UNKNOWN,1675.77212,85699.66,2
2026-01-06,Compute,EC2-t3.large,ap-southeast-1,966.4192,920004.0,1
2026-01-06,Compute,EC2-t3.medium,ap-south-1,26.484,1545312.6,1
2026-01-06,Compute,EC2-t3.medium,ap-southeast-1,2225.548,27029.66,1
2026-01-06,Compute,EC2-t3.medium,eu-west-1,236.7788,7359.92,1
2026-01-06,Compute,EC2-t3.medium,us-east-1,211.0104,23566.15,1
2026-01-06,Compute,EC2-t3.xlarge,ap-south-1,123.3562,86909005.58,4
2026-01-06,Compute,EC2-t3.xlarge,eu-west-1,2168.93,127188648.0,1
2026-01-06,Compute,EC2-t3.xlarge,us-west-2,1499.94,1841665.8,1
2026-01-06,Compute,GCE-n1-standard-2,asia-south1,469.94,25710840.0,2
2026-01-06,Compute,GCE-n1-standard-2,asia-southeast1,12.754680000000002,46139832.0,1
2026-01-06,Compute,GCE-n1-standard-2,europe-west1,983.7039,67422420.0,1
2026-01-06,Compute,GCE-n1-standard-2,us-central1,13.18572,1269755.4,1
2026-01-06,Compute,GCE-n1-standard-4,asia-south1,1471.1252399999998,91096966.2,2
2026-01-06,Compute,GCE-n1-standard-8,asia-south1,20.96928,1245918.0,1
2026-01-06,Compute,GCE-n1-standard-8,europe-west1,4507.67,136876867.2,2
2026-01-06,Compute,GCE-n1-standard-8,us-central1,3604.35744,164082570.93,3
2026-01-06,Compute,GCE-n1-standard-8,us-west1,33.41448,1752292.2,1
2026-01-06,Compute,VM-Standard_D2s,centralindia,3073.04,33288.86,1
2026-01-06,Compute,VM-Standard_D2s,westeurope,1338.8975,15204.01,1
2026-01-06,Compute,VM-Standard_D4s,eastus,371.898,1624164.0,1
2026-01-06,Compute,VM-Standard_D4s,westeurope,2775.1014,1159205.75,2
2026-01-06,Compute,VM-Standard_D8s,canadacentral,1154.4876000000002,12076.94,1
2026-01-06,Compute,VM-Standard_D8s,southeastasia,383.98,49517.9,1
2026-01-06,Compute,VM-Standard_D8s,westeurope,698.6842800000002,101154556.58,2
2026-01-06,Database,CloudSQL-db.standard-2,asia-south1,31.628400000000003,209728584.0,2
2026-01-06,Database,CloudSQL-db.standard-2,asia-southeast1,118.8972,14613156.0,1
2026-01-06,Database,CloudSQL-db.standard-2,us-central1,740.6148000000001,159409048.8,3
2026-01-06,Database,CloudSQL-db.standard-2,us-west1,24.83304,68407.97,2
2026-01-06,Database,RDS-db.m5.large,UNKNOWN,519.5951,2727118.2,1
2026-01-06,Database,RDS-db.m5.large,ap-south-1,3.0231600000000003,1789584.6,1
2026-01-06,Database,RDS-db.m5.large,ap-southeast-1,8987.80904,166820850.9,5
